imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.033,0.1113,0.226,0.249,0.249
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0584,0.1285,0.1651,0.1651,0.1651
30E2X49V611K26Z0IIHLB47CQY63NG,0.0203,0.0507,0.1167,0.141,0.141,0.141
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0,0.0491,0.1244,0.279,0.279,0.279
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.0,0.0941,0.2643,0.2719,0.2719
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0515,0.1116,0.2256,0.3091,0.3091,0.3091
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0097,0.0399,0.062,0.0737,0.0737,0.0737
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.06,0.1826,0.232,0.3334,0.3334,0.3334
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0176,0.3379,0.6002,0.6002,0.6002
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0344,0.1818,0.3025,0.3025
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0,0.0689,0.2312,0.3129,0.3129
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0036,0.0657,0.0988,0.2445,0.2445,0.2445
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0296,0.0951,0.2387,0.3523,0.3523,0.3523
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.1921,0.2667,0.2667
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.035,0.0827,0.1398,0.2433,0.2433,0.2433
320GLP60AN6FM9FGZXIOL5AG38941T,0.0161,0.2631,0.4075,0.6298,0.6298,0.6298
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0315,0.2057,0.2242,0.2242
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0008,0.0296,0.0582,0.0847,0.0847,0.0847
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0089,0.0341,0.1505,0.2104,0.2104
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0,0.0081,0.0246,0.1093,0.1093,0.1093
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0595,0.0851,0.1442,0.2808,0.3209,0.3209
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0032,0.0795,0.2773,0.298,0.3444
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0189,0.161,0.3047,0.46
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.0673,0.1456,0.2188,0.2846,0.3167,0.3167
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0029,0.0816,0.1259,0.2059,0.2059,0.2059
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.0161,0.0702,0.1398,0.1398,0.1398
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0,0.0033,0.0705,0.1649,0.1649,0.1649
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0,0.0193,0.0893,0.0893,0.0893
330XZFCZ7RB627L6HWI9543W690TXG,0.0,0.105,0.2472,0.3749,0.3772,0.3772
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0,0.0,0.0378,0.0781,0.0781,0.0781
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0,0.0,0.077,0.1423,0.1423,0.1423
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.0245,0.1268,0.1718,0.342,0.3597,0.4388
