imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.0076,0.0517,0.349,0.3975,0.4412
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0,0.0494,0.1806,0.3785,0.3785
30E2X49V611K26Z0IIHLB47CQY63NG,0.0,0.0279,0.0671,0.1258,0.1548,0.1548
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0,0.0124,0.1247,0.2479,0.3062,0.3062
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.0495,0.1119,0.2258,0.2893,0.3721
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.002,0.029,0.184,0.4323,0.4616,0.4616
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0,0.0,0.0328,0.1254,0.2233,0.2233
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0362,0.0747,0.2436,0.4714,0.5273,0.5273
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0,0.1276,0.776,0.8937,0.8937
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0599,0.2102,0.3299,0.3299
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0451,0.0663,0.2427,0.3852,0.5675
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0053,0.0242,0.0712,0.2408,0.5011,0.5011
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0045,0.0839,0.2063,0.3162,0.4997,0.4997
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.202,0.216,0.3914
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0258,0.0665,0.1212,0.209,0.2534,0.2534
320GLP60AN6FM9FGZXIOL5AG38941T,0.01,0.1843,0.4967,0.5704,0.6107,0.6107
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0242,0.1701,0.2358,0.3596
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0,0.0303,0.0903,0.1212,0.1212
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0,0.0354,0.1481,0.3711,0.4089
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0,0.0132,0.0763,0.1163,0.128,0.128
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0,0.1187,0.1957,0.3133,0.6365,0.6365
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0403,0.0549,0.2052,0.2966,0.6467
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0,0.1752,0.3388,0.694
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.0164,0.1143,0.2186,0.4329,0.4518,0.4643
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0,0.0093,0.144,0.2396,0.5062,0.5062
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.0295,0.0605,0.1882,0.2195,0.2195
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0,0.0273,0.0622,0.1503,0.2161,0.2161
