imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0118,0.0118,0.0118,0.1377,0.1377,0.1377
30E2X49V611K26Z0IIHLB47CQY53NF,0,0,0,0,0,0
30E2X49V611K26Z0IIHLB47CQY63NG,0,0,0,0,0,0
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0548,0.0548,0.0548,0.1073,0.1073,0.1073
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.1199,0.1199,0.1199,0.1199,0.1199,0.1199
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.1326,0.1326,0.1326,0.1326,0.1326,0.1326
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.2156,0.2156,0.2156,0.2156,0.2156,0.2156
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.023,0.023,0.023,0.0601,0.0601,0.0601
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0333,0.0333,0.0333,0.0944,0.0944,0.0944
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0731,0.0731,0.0731,0.0731,0.0731,0.0731
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.1249,0.1249,0.1249,0.1249,0.1249,0.1249
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.0535,0.0535,0.0535
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0661,0.0661,0.0661,0.0661,0.0661,0.0661
320GLP60AN6FM9FGZXIOL5AG38941T,0.3849,0.3849,0.3849,0.3849,0.3849,0.3849
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0318,0.0318,0.0318,0.0372,0.0372,0.0372
3244QHISJ1ITNE98CFK36E7RG91L0N,0,0,0,0,0,0
3244QHISK2XKVEPCAXDY38M44I9L04,0.01,0.01,0.01,0.0538,0.0538,0.0538
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.035,0.035,0.035,0.035,0.035,0.035
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.1293,0.1293,0.1293,0.1293,0.1293,0.1293
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0275,0.03,0.1606,0.1606,0.1606,0.1606
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.002,0.004,0.0859,0.0859,0.0859
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.1406,0.1406,0.1406,0.1898,0.1898,0.1898
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.073,0.073,0.073,0.073,0.073,0.073
32WAV7G60PNC75TK9C1M3A29EH0D36,0.055,0.055,0.055,0.055,0.055,0.055
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0557,0.0557,0.0557,0.0557,0.0557,0.0557
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0214,0.0214,0.0214,0.0214,0.0214,0.0214
330XZFCZ7RB627L6HWI9543W690TXG,0.0757,0.0757,0.0757,0.1575,0.1575,0.1575
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0283,0.0283,0.0283,0.0283,0.0283,0.0283
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0475,0.0475,0.0475,0.0475,0.0475,0.0475
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.0828,0.0983,0.1404,0.2184,0.2184,0.2184
33RX46D1RXVH625SCIG7UWSYT80X1J,0.1593,0.1593,0.1593,0.1593,0.1593,0.1593
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.1067,0.1067,0.1067,0.1067,0.1067,0.1067
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0886,0.0886,0.0886,0.0886,0.0886,0.0886
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0647,0.0647,0.0647,0.0647,0.0647,0.0647
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0111,0.0191,0.0221,0.0673,0.0673,0.0673
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0202,0.0306,0.0341,0.0665,0.0821,0.0821
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,0.0268,0.0326,0.0349,0.085,0.085,0.085
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,0.0286,0.0341,0.0497,0.0821,0.0821,0.0821
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.0067,0.0078,0.0221,0.0613,0.0613,0.0613
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,0.291,0.291,0.291,0.291,0.291,0.291
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0.0582,0.0582,0.0582,0.0582,0.0582,0.0582
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.0483,0.0483,0.0483,0.0483,0.0483,0.0483
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,0.0476,0.0501,0.0726,0.0726,0.0726,0.0726
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,0.0,0.0,0.0946,0.104,0.104,0.104
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,0.0676,0.0676,0.0676,0.1535,0.1535,0.1535
35QUA2ABY634ZYN782PTB2BL5I8EGJ,0.0551,0.0551,0.0551,0.0551,0.0551,0.0551
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,0.0,0.0,0.0,0.072,0.072,0.072
361LJMRMCQ5CDYJ025B6700NV8CUR4,0.0553,0.0553,0.0553,0.0553,0.0553,0.0553
369VX4MEOJAKM0DV8XRK62EAJWKGI1,0.0054,0.0054,0.0054,0.1046,0.1046,0.1046
36ARV8EEH67U95XPYN59VTZKFJ2VA1,0.0494,0.0494,0.0494,0.0494,0.0494,0.0494
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,0.142,0.142,0.142,0.2794,0.2794,0.2794
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,0.0727,0.2526,0.2575,0.2575,0.2575,0.2575
36HGGQAXL6L87J29O35QD9YQWSFBVG,0,0,0,0,0,0
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,0.0445,0.0445,0.0445,0.0445,0.0445,0.0445
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,0.1033,0.1033,0.1033,0.1033,0.1033,0.1033
36QDS77QN9NG5USZQM0XMAC2L97HFT,0.1185,0.1185,0.1185,0.1202,0.1202,0.1202
36QDS77QN9Y3AP81GU3ZJ983H37HFJ,0,0,0,0,0,0
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,0.0235,0.0235,0.0235,0.0235,0.0235,0.0235
375FCEJV4GX4B1VR293XJCDD0I7CCJ,0.1369,0.1446,0.1635,0.1945,0.1945,0.1945
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291
37672WDDC2JA93V4O46FCCJ2VAJNM9,0.0241,0.0241,0.0241,0.0241,0.0241,0.0241
378UBY8FQ61LFCJMHZWZTRZI59A8TB,0.0688,0.0688,0.0688,0.3052,0.3052,0.3052
378UBY8FR7AABMKBM232FCEFT60T8E,0.0462,0.0462,0.0462,0.1927,0.1927,0.1927
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR,0.0215,0.0215,0.0215,0.0215,0.0215,0.0215
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,0.004,0.0052,0.0095,0.019,0.019,0.019
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_1,0.0052,0.0052,0.0052,0.0137,0.0137,0.0137
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_2,0.0035,0.0058,0.0181,0.0181,0.0181,0.0181
37FXVUXR5NUGX6LAN3N06Z6PNZ6EWN,0.0386,0.0386,0.0386,0.0386,0.0386,0.0386
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,0.0035,0.0035,0.0035,0.187,0.187,0.187
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574
37ZHE2JT1D250TKIB56TICN73UM88S,0.0639,0.0639,0.0639,0.0639,0.0639,0.0639
37ZHE2JT1D250TKIB56TICN73UQ88W,0,0,0,0,0,0
37ZUGP9H9BONPT0XCKXE3200JPH817,0.058,0.058,0.058,0.058,0.058,0.058
37ZUGP9H9BONPT0XCKXE3201JQL81F,0.0,0.0,0.0,0.0508,0.0508,0.0508
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,0,0,0,0,0,0
389X50RO4VDYCDHURIYQ7760LL5343,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353
38DNTK7MFN2OC2PZPWU81IIJXME01H,0.0355,0.0395,0.0436,0.0509,0.0509,0.0509
38DNTK7MFN34LCW85JTSAD2CXFQ01S,0.0991,0.0991,0.0991,0.0991,0.0991,0.0991
38DNTK7MFN3UAZX8DF8S385AB3E10K,0.0364,0.0565,0.0568,0.1903,0.1903,0.1903
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,0.0404,0.0404,0.0404,0.062,0.062,0.062
38GRQLZZQQCOARQX7FK2NWOBS4K0CN,0.0,0.0,0.0019,0.0585,0.0585,0.0585
38IOEK81UIQHG7BFV93TAAEQ3W496W,0,0,0,0,0,0
38LYNH3Q4ODLGFNEHSAP2J87XNZMGY,0,0,0,0,0,0
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,0.0758,0.0758,0.0758,0.1247,0.1247,0.1247
38MNOT6KWIG21RX6PKH1YJB8VKDT05,0.0,0.0,0.0459,0.0459,0.0459,0.0459
38MNOT6KWIG21RX6PKH1YJB8VKDT05_1,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513
38MNOT6KWIG21RX6PKH1YJB8VKDT05_2,0.0,0.0,0.0,0.0619,0.0619,0.0619
38NH2CI7ROPJ1MAJ3F139HJ5CPPVU5,0.0669,0.0669,0.0669,0.0669,0.0669,0.0669
38NH2CI7SPCMWUJ4T62C2GD654VVUY,0.035,0.0363,0.0363,0.1121,0.1121,0.1121
38VQ1AW9T5WCGLEK2ZAP9I6I4O826I,0,0,0,0,0,0
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,0.036,0.036,0.036,0.036,0.036,0.036
39393HGTI5QMIY6JHIT1M5IIGWJEOF,0.23,0.23,0.23,0.23,0.23,0.23
394TEHR260P29GUZO0UUQSDZ63O65J,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123
39PLFW4P2L2RPNN40J9QB1XCZ2O4HT,0.0526,0.0742,0.0972,0.1681,0.1681,0.1681
39UNKKTVDF8Y9H8JFO9U930XMBHYGJ,0.0,0.0,0.0,0.008,0.008,0.008
39UNKKTVDFFX9VEX2EW7RYBUQ2JGYD,0.0646,0.0646,0.0646,0.0646,0.0646,0.0646
39VNNFFKK59EW3XI1HP5P046ZAXXVP,0.0373,0.0373,0.0373,0.0417,0.0417,0.0417
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,0.0599,0.0599,0.0599,0.0599,0.0599,0.0599
