imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0062,0.0175,0.0367,0.173,0.173,0.173
30E2X49V611K26Z0IIHLB47CQY53NF,0,0,0,0,0,0
30E2X49V611K26Z0IIHLB47CQY63NG,0,0,0,0,0,0
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0062,0.0062,0.0062,0.126,0.126,0.126
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0785,0.0829,0.136,0.136,0.136,0.136
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0677,0.0677,0.0677,0.1722,0.1722,0.1722
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0187,0.0187,0.0187,0.0443,0.0443,0.0443
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0598,0.0598,0.0598,0.2054,0.2054,0.2054
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.1457,0.1457,0.1457,0.2855,0.2855,0.2855
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.023,0.0345,0.0858,0.0858,0.0858,0.0858
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0257,0.0552,0.0622,0.0965,0.0965,0.0965
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0708,0.0708,0.0708,0.0754,0.0754,0.0754
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0614,0.0614,0.0614,0.1883,0.1883,0.1883
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0182,0.0888,0.0888,0.0888,0.0888
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0462,0.0462,0.0462,0.0859,0.0859,0.0859
320GLP60AN6FM9FGZXIOL5AG38941T,0.3414,0.3414,0.3414,0.4285,0.4285,0.4285
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0154,0.0482,0.0734,0.0734,0.0734,0.0734
3244QHISJ1ITNE98CFK36E7RG91L0N,0,0,0,0,0,0
3244QHISK2XKVEPCAXDY38M44I9L04,0.0112,0.0431,0.0646,0.0646,0.0646,0.0646
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0333,0.0333,0.0333,0.0366,0.0366,0.0366
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.1134,0.1134,0.1134,0.1452,0.1452,0.1452
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.012,0.0431,0.1387,0.1824,0.1824,0.1824
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0081,0.1108,0.1108,0.1108
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.1388,0.1721,0.2408,0.2408,0.2408,0.2408
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.019,0.019,0.019,0.127,0.127,0.127
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0423,0.0423,0.0423,0.0677,0.0677,0.0677
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0297,0.0297,0.0297,0.0816,0.0816,0.0816
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0179,0.0179,0.0179,0.0249,0.0249,0.0249
330XZFCZ7RB627L6HWI9543W690TXG,0.0443,0.0863,0.1514,0.2706,0.2706,0.2706
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.027,0.027,0.027,0.0296,0.0296,0.0296
33FLRCV01N0NF725EJLGLLU8UGYORG,0.04,0.04,0.04,0.055,0.055,0.055
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.033,0.1101,0.1404,0.3013,0.3013,0.3013
33RX46D1RXVH625SCIG7UWSYT80X1J,0.1143,0.1143,0.1143,0.2043,0.2043,0.2043
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.0408,0.0408,0.0408,0.1727,0.1727,0.1727
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0848,0.0848,0.0848,0.0925,0.0925,0.0925
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0055,0.0055,0.0055,0.1238,0.1238,0.1238
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0,0.0068,0.0382,0.0738,0.0787,0.0787
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0009,0.0299,0.0605,0.0751,0.0873,0.0873
