imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0094,0.0186,0.126,0.176,0.176,0.176
30E2X49V611K26Z0IIHLB47CQY53NF,0,0,0,0,0,0
30E2X49V611K26Z0IIHLB47CQY63NG,0,0,0,0,0,0
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0071,0.1076,0.1447,0.1447,0.1447,0.1447
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.024,0.122,0.1658,0.1658,0.1658
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.1022,0.1548,0.1895,0.1895,0.1895,0.1895
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0282,0.0342,0.0543,0.0543,0.0543,0.0543
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.1078,0.1875,0.2234,0.2234,0.2234,0.2234
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.1315,0.1602,0.2735,0.2977,0.2977,0.2977
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0464,0.0695,0.1108,0.1108,0.1108
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0162,0.0313,0.1843,0.1843,0.1843
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0668,0.0747,0.1176,0.1176,0.1176,0.1176
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0923,0.1076,0.2693,0.2693,0.2693,0.2693
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0886,0.0889,0.0889,0.0889
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0754,0.0778,0.0964,0.0964,0.0964,0.0964
320GLP60AN6FM9FGZXIOL5AG38941T,0.3345,0.4493,0.5224,0.5224,0.5224,0.5224
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0056,0.0326,0.0722,0.0747,0.0747,0.0747
3244QHISJ1ITNE98CFK36E7RG91L0N,0,0,0,0,0,0
3244QHISK2XKVEPCAXDY38M44I9L04,0.0117,0.0341,0.0591,0.0701,0.0701,0.0701
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0059,0.0158,0.0511,0.0673,0.0673,0.0673
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0634,0.0919,0.1355,0.2267,0.2267,0.2267
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0173,0.0862,0.2769,0.2769,0.2769
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0013,0.0235,0.1026,0.1547,0.1547
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.1486,0.1887,0.2191,0.2626,0.2626,0.2626
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0272,0.1044,0.1498,0.1498,0.1498,0.1498
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.0425,0.0842,0.0936,0.0936,0.0936
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0235,0.0382,0.1399,0.1399,0.1399,0.1399
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0129,0.0356,0.0372,0.0372,0.0372
330XZFCZ7RB627L6HWI9543W690TXG,0.0503,0.123,0.2328,0.3356,0.3356,0.3356
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0,0.0025,0.0522,0.0587,0.0587,0.0587
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0,0.0488,0.0609,0.0804,0.0804,0.0804
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.0542,0.1236,0.1765,0.3457,0.3457,0.3457
33RX46D1RXVH625SCIG7UWSYT80X1J,0.1579,0.1745,0.2505,0.2505,0.2505,0.2505
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.0747,0.1504,0.1952,0.1952,0.1952,0.1952
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0162,0.0655,0.1043,0.1849,0.1849,0.1849
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0111,0.0821,0.1659,0.1659,0.1659,0.1659
