imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.017,0.1105,0.2196,0.2389,0.2389
30E2X49V611K26Z0IIHLB47CQY53NF,0,0,0,0,0,0
30E2X49V611K26Z0IIHLB47CQY63NG,0,0,0,0,0,0
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0,0.0112,0.101,0.2572,0.2572,0.2572
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.0,0.1139,0.1908,0.2687,0.2687
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0621,0.1587,0.1915,0.2248,0.2248,0.2248
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0127,0.0192,0.0572,0.0885,0.0885,0.0885
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0278,0.1356,0.2566,0.2714,0.2714,0.2714
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.1124,0.1355,0.2077,0.3324,0.3324,0.3324
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0242,0.0768,0.1324,0.1352,0.1352
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0144,0.0437,0.2358,0.2791,0.3325
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0375,0.0678,0.1085,0.1752,0.1752,0.1752
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0615,0.1026,0.1187,0.3706,0.3706,0.3706
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0383,0.115,0.1255,0.1255
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0398,0.0541,0.0975,0.1603,0.1603,0.1603
320GLP60AN6FM9FGZXIOL5AG38941T,0.4085,0.4494,0.5281,0.5498,0.5498,0.5498
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0098,0.0551,0.1245,0.1372,0.1372
3244QHISJ1ITNE98CFK36E7RG91L0N,0,0,0,0,0,0
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0308,0.0513,0.0879,0.1149,0.1149
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0,0.0152,0.0487,0.1137,0.1137,0.1137
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0,0.0917,0.114,0.2594,0.2594,0.2594
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0,0.0379,0.2537,0.3232,0.3373
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0129,0.1543,0.1691,0.1742
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.1147,0.1635,0.2453,0.291,0.3496,0.3496
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0218,0.0695,0.106,0.1879,0.1879,0.1879
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.0,0.0443,0.2534,0.2534,0.2534
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.021,0.0381,0.0549,0.2064,0.2064,0.2064
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0,0.0166,0.0892,0.0892,0.0892
330XZFCZ7RB627L6HWI9543W690TXG,0.0249,0.0898,0.2008,0.422,0.4442,0.4442
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0,0.0,0.0049,0.1745,0.1745,0.1745
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0,0.0,0.0357,0.1776,0.1776,0.1776
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.0573,0.123,0.1767,0.2944,0.3907,0.414
33RX46D1RXVH625SCIG7UWSYT80X1J,0.1197,0.1734,0.2414,0.2948,0.2948,0.2948
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.0331,0.0973,0.2018,0.2232,0.2232,0.2232
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0,0.0311,0.0663,0.3296,0.3296,0.3296
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0,0.0187,0.1073,0.2676,0.2676,0.2676
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0,0.0,0.0134,0.1109,0.1479,0.191
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0,0.0,0.0,0.1376,0.1825,0.2805
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,0.0,0.0,0.0436,0.169,0.1969,0.2805
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,0.0,0.0,0.0395,0.1509,0.1875,0.2805
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.0,0.0,0.0173,0.1017,0.1757,0.1958
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,0.1904,0.3134,0.4458,0.5965,0.5965,0.5965
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0.0262,0.05,0.0589,0.0938,0.0938,0.0938
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.0,0.0,0.0477,0.1227,0.1227,0.1227
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,0.0,0.0267,0.0688,0.1494,0.1506,0.1771
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,0.0,0.0,0.0215,0.1788,0.2308,0.3243
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,0.0202,0.0931,0.169,0.3082,0.3337,0.3337
35QUA2ABY634ZYN782PTB2BL5I8EGJ,0.0178,0.0199,0.099,0.2025,0.2025,0.2025
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,0.0,0.0,0.0289,0.1814,0.1918,0.1918
361LJMRMCQ5CDYJ025B6700NV8CUR4,0.0163,0.022,0.0702,0.2013,0.2013,0.2013
369VX4MEOJAKM0DV8XRK62EAJWKGI1,0.0,0.0,0.0403,0.2142,0.2271,0.2271
36ARV8EEH67U95XPYN59VTZKFJ2VA1,0.0,0.0,0.02,0.2144,0.2144,0.2144
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,0.1029,0.1999,0.2849,0.3841,0.4326,0.4326
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,0.0649,0.0993,0.2872,0.4781,0.5143,0.7094
36HGGQAXL6L87J29O35QD9YQWSFBVG,0,0,0,0,0,0
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,0.0,0.0,0.099,0.1647,0.1647,0.1647
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,0.0524,0.0835,0.1932,0.2399,0.2399,0.2399
36QDS77QN9NG5USZQM0XMAC2L97HFT,0.0,0.1275,0.2067,0.2996,0.3196,0.3196
36QDS77QN9Y3AP81GU3ZJ983H37HFJ,0,0,0,0,0,0
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,0.0,0.0,0.0056,0.159,0.159,0.159
375FCEJV4GX4B1VR293XJCDD0I7CCJ,0.0445,0.1479,0.2567,0.3504,0.367,0.4471
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,0.0,0.0196,0.0543,0.0887,0.0887,0.0887
37672WDDC2JA93V4O46FCCJ2VAJNM9,0.0,0.0,0.0375,0.1161,0.1161,0.1161
378UBY8FQ61LFCJMHZWZTRZI59A8TB,0.054,0.1368,0.2759,0.5606,0.6242,0.6242
378UBY8FR7AABMKBM232FCEFT60T8E,0.0175,0.0802,0.2012,0.3557,0.4478,0.4478
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR,0.0,0.0042,0.0187,0.0759,0.0759,0.0759
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,0.0,0.0,0.0083,0.0345,0.0486,0.1386
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_1,0.0,0.0,0.0081,0.0492,0.1032,0.1032
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_2,0.0,0.0,0.0083,0.0433,0.0496,0.1264
37FXVUXR5NUGX6LAN3N06Z6PNZ6EWN,0.0,0.0134,0.0337,0.214,0.214,0.214
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,0.0,0.0016,0.02,0.225,0.2767,0.2782
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,0.0,0.0113,0.0402,0.1435,0.1435,0.1435
37ZHE2JT1D250TKIB56TICN73UM88S,0.036,0.0541,0.1087,0.1538,0.1538,0.1538
37ZHE2JT1D250TKIB56TICN73UQ88W,0,0,0,0,0,0
37ZUGP9H9BONPT0XCKXE3200JPH817,0.0266,0.0391,0.1092,0.159,0.159,0.159
37ZUGP9H9BONPT0XCKXE3201JQL81F,0.0,0.0,0.0377,0.1148,0.1236,0.1236
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,0,0,0,0,0,0
389X50RO4VDYCDHURIYQ7760LL5343,0.0,0.0147,0.0551,0.1705,0.1705,0.1705
38DNTK7MFN2OC2PZPWU81IIJXME01H,0.0,0.0,0.0201,0.175,0.2749,0.281
38DNTK7MFN34LCW85JTSAD2CXFQ01S,0.0267,0.0576,0.1153,0.1934,0.1934,0.1934
38DNTK7MFN3UAZX8DF8S385AB3E10K,0.0,0.0471,0.1177,0.3046,0.3238,0.3752
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,0.0035,0.0272,0.0714,0.1976,0.2364,0.2364
38GRQLZZQQCOARQX7FK2NWOBS4K0CN,0.0,0.0,0.0,0.0498,0.096,0.2156
38IOEK81UIQHG7BFV93TAAEQ3W496W,0,0,0,0,0,0
38LYNH3Q4ODLGFNEHSAP2J87XNZMGY,0,0,0,0,0,0
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,0.0347,0.0909,0.1557,0.2469,0.2493,0.2493
38MNOT6KWIG21RX6PKH1YJB8VKDT05,0.0,0.0,0.0,0.1081,0.1258,0.1333
38MNOT6KWIG21RX6PKH1YJB8VKDT05_1,0.0,0.0105,0.0738,0.1668,0.1668,0.1668
38MNOT6KWIG21RX6PKH1YJB8VKDT05_2,0.0,0.0,0.0328,0.195,0.1959,0.1959
38NH2CI7ROPJ1MAJ3F139HJ5CPPVU5,0.0086,0.0205,0.1322,0.2231,0.2231,0.2231
38NH2CI7SPCMWUJ4T62C2GD654VVUY,0.0,0.0184,0.0462,0.1171,0.1379,0.1523
38VQ1AW9T5WCGLEK2ZAP9I6I4O826I,0,0,0,0,0,0
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,0.0,0.0,0.0363,0.1381,0.1381,0.1381
39393HGTI5QMIY6JHIT1M5IIGWJEOF,0.1432,0.1766,0.3776,0.4449,0.4449,0.4449
394TEHR260P29GUZO0UUQSDZ63O65J,0.0,0.0,0.035,0.0409,0.0409,0.0409
39PLFW4P2L2RPNN40J9QB1XCZ2O4HT,0.0162,0.0644,0.1464,0.284,0.3112,0.363
39UNKKTVDF8Y9H8JFO9U930XMBHYGJ,0.0,0.0,0.0,0.0,0.0233,0.0233
39UNKKTVDFFX9VEX2EW7RYBUQ2JGYD,0.0,0.0213,0.1051,0.2185,0.2185,0.2185
39VNNFFKK59EW3XI1HP5P046ZAXXVP,0.0,0.0,0.0372,0.1705,0.2281,0.2281
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,0.0128,0.0525,0.0587,0.209,0.209,0.209
39Y8ZSVZXXM4Z9DMIL8I9OJZBK9VZ6,0.0191,0.0431,0.1695,0.3117,0.3117,0.3117
3AA189Q6B51983MEFLORU493K7KMWE,0.0167,0.0175,0.0393,0.1923,0.1923,0.1923
3AA189Q6B52Z6L7EV3NS06BHCKRWMY,0.0,0.0288,0.138,0.3023,0.3023,0.3023
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,0.0,0.0,0.0191,0.2745,0.337,0.337
3AA189Q6C6TLNJILLV2LOGYDJT7MWV,0.0,0.0,0.058,0.3594,0.3594,0.3594
3AJ89545NQHYX91N7X3ADUYHKVTBEA,0,0,0,0,0,0
3AJ89545NQRFJUS6JU65GFBBEJ7BEW,0.0,0.0,0.0519,0.2074,0.2342,0.2342
3AMAQJSW8I20H10ADEKNBNOAVRROI5,0.0329,0.0678,0.0825,0.2422,0.2422,0.2422
3B9PUZPHFHW5PZT5Q7OV88NG9W6JA5,0.0,0.0113,0.0585,0.1746,0.1746,0.1746
3BGEFHL0JHEL8I3UU0A0G1OJRYOJBS,0.024,0.1033,0.1693,0.4156,0.4347,0.4886
3BHOG8KFNLAK9AB1ZQLEP6Q0T3RR81,0,0,0,0,0,0
3BK5FW2G6MZ18ENS8D29GOXE9AHRCA,0.0283,0.0283,0.0999,0.1479,0.1573,0.1573
