imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0078,0.0187,0.0366,0.3712,0.4181,0.4181
30E2X49V611K26Z0IIHLB47CQY53NF,0.0136,0.0247,0.039,0.1892,0.1892,0.1892
30E2X49V611K26Z0IIHLB47CQY63NG,0.0168,0.0391,0.0449,0.0968,0.0968,0.0968
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0321,0.0639,0.1073,0.152,0.164,0.164
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0155,0.0559,0.1058,0.1768,0.3307,0.3307
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0105,0.0948,0.1228,0.4238,0.4238,0.4238
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0,0.0097,0.0378,0.1744,0.1744,0.1744
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0663,0.1499,0.2254,0.3144,0.3144,0.3144
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0,0.056,0.7087,0.7087,0.7087
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.097,0.1478,0.221,0.221
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0245,0.0307,0.0709,0.3215,0.4051,0.4051
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0098,0.0321,0.0476,0.371,0.371,0.371
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0853,0.1107,0.1522,0.3693,0.3693,0.3693
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0181,0.108,0.2967,0.2967
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0287,0.0645,0.1007,0.187,0.187,0.187
320GLP60AN6FM9FGZXIOL5AG38941T,0.0224,0.0991,0.4242,0.5636,0.5665,0.5665
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0485,0.1179,0.1798,0.1798
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0046,0.022,0.0623,0.0623,0.0623
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0142,0.0364,0.0901,0.39,0.39
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0069,0.0522,0.0609,0.0668,0.0668,0.0668
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0593,0.1007,0.1204,0.2987,0.505,0.505
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0135,0.0238,0.0696,0.2117,0.3491,0.4517
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0151,0.1553,0.3498,0.4854
