imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.0,0.0927,0.2741,0.3575,0.4016
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0,0.1014,0.2914,0.3232,0.3563
30E2X49V611K26Z0IIHLB47CQY63NG,0.0,0.0,0.108,0.2125,0.2222,0.3445
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0,0.0,0.0934,0.35,0.4764,0.5714
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.0,0.04,0.3109,0.4345,0.564
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0,0.1112,0.2103,0.3642,0.4167,0.4798
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0,0.0,0.0176,0.1686,0.28,0.28
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0,0.1249,0.2381,0.4113,0.5174,0.6655
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0,0.2022,0.5279,0.9075,0.9686
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0,0.31,0.3555,0.4605
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0,0.026,0.2909,0.3716,0.4429
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0,0.0,0.0993,0.308,0.3575,0.3678
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0,0.0429,0.2243,0.443,0.5089,0.6062
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.23,0.2898,0.4235
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0,0.0288,0.1272,0.3585,0.3785,0.64
320GLP60AN6FM9FGZXIOL5AG38941T,0.0,0.0895,0.4619,0.6908,0.7206,0.7517
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0,0.2311,0.3336,0.4894
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0,0.0,0.1276,0.1819,0.2538
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0,0.0163,0.2362,0.3147,0.3599
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0,0.0,0.04,0.1216,0.183,0.3378
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0,0.0,0.1599,0.3091,0.3538,0.3986
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0,0.0126,0.2777,0.5256,0.6648
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0,0.16,0.3841,0.76
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.0,0.1191,0.2653,0.4403,0.5209,0.61
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0,0.0,0.1194,0.3827,0.4374,0.4808
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.0,0.0,0.2254,0.2905,0.3742
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0,0.0,0.02,0.2673,0.3112,0.3528
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0,0.0,0.1119,0.1375,0.2344
330XZFCZ7RB627L6HWI9543W690TXG,0.0,0.0623,0.2285,0.512,0.5683,0.8154
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0,0.0,0.0,0.1023,0.191,0.2394
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0,0.0,0.0,0.223,0.261,0.3932
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.0,0.1079,0.2003,0.3715,0.4453,0.6297
33RX46D1RXVH625SCIG7UWSYT80X1J,0.0,0.1138,0.1835,0.5622,0.5816,0.6043
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.0,0.0957,0.1932,0.3313,0.3572,0.3716
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0,0.0,0.0668,0.3036,0.3831,0.4075
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0,0.0,0.0318,0.3306,0.505,0.5459
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0,0.0,0.0,0.1465,0.3177,0.6638
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0,0.0,0.0,0.19,0.3251,0.6431
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,0.0,0.0,0.0,0.2391,0.4104,0.6479
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,0.0,0.0,0.0,0.2067,0.3644,0.6431
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.0,0.0,0.0,0.1,0.42,0.6118
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,0.0,0.1965,0.474,0.6548,0.8095,0.8386
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0.0,0.0,0.0,0.3,0.3533,0.3805
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.0,0.0,0.0,0.3302,0.5298,0.6043
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,0.0,0.0,0.0,0.24,0.3568,0.4805
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,0.0,0.0,0.0,0.2405,0.3507,0.6978
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,0.0,0.0,0.1874,0.3735,0.5979,0.65
35QUA2ABY634ZYN782PTB2BL5I8EGJ,0.0,0.0139,0.1066,0.1873,0.3157,0.3288
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,0.0,0.0,0.0,0.3111,0.5311,0.8236
361LJMRMCQ5CDYJ025B6700NV8CUR4,0.0,0.0,0.11,0.6455,0.6757,0.8212
369VX4MEOJAKM0DV8XRK62EAJWKGI1,0.0,0.0,0.0,0.245,0.3414,0.4749
36ARV8EEH67U95XPYN59VTZKFJ2VA1,0.0,0.0,0.0,0.1604,0.2276,0.468
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,0.0,0.13,0.3352,0.551,0.6,0.9376
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,0.0,0.106,0.22,0.5388,0.6533,0.8955
36HGGQAXL6L87J29O35QD9YQWSFBVG,0.0,0.0,0.0742,0.1899,0.2465,0.2512
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,0.0,0.0,0.0699,0.1987,0.267,0.3
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,0.0,0.006,0.1412,0.4774,0.53,0.5468
36QDS77QN9NG5USZQM0XMAC2L97HFT,0.0,0.0,0.3681,0.5986,0.745,0.7914
36QDS77QN9Y3AP81GU3ZJ983H37HFJ,0.0,0.0,0.0385,0.1386,0.1716,0.2293
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,0.0,0.0,0.0,0.1163,0.14,0.2665
375FCEJV4GX4B1VR293XJCDD0I7CCJ,0.0,0.0976,0.2587,0.5546,0.6892,0.9636
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,0.0,0.0,0.0,0.225,0.2485,0.2654
37672WDDC2JA93V4O46FCCJ2VAJNM9,0.0,0.0,0.0,0.1862,0.3526,0.4193
378UBY8FQ61LFCJMHZWZTRZI59A8TB,0.0,0.1177,0.33,0.6404,0.738,0.8762
378UBY8FR7AABMKBM232FCEFT60T8E,0.0,0.0012,0.1755,0.4542,0.5185,0.6153
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR,0.0,0.0,0.0,0.1218,0.14,0.1568
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,0.0,0.0,0.0,0.07,0.1206,0.2056
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_1,0.0,0.0,0.0,0.114,0.15,0.1795
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_2,0.0,0.0,0.0,0.07,0.1218,0.1795
37FXVUXR5NUGX6LAN3N06Z6PNZ6EWN,0.0,0.0,0.0,0.2189,0.28,0.3276
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,0.0,0.0,0.0,0.2417,0.5692,0.7338
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,0.0,0.0,0.0,0.1556,0.5389,0.5639
37ZHE2JT1D250TKIB56TICN73UM88S,0.0,0.0,0.0741,0.2853,0.3126,0.3685
37ZHE2JT1D250TKIB56TICN73UQ88W,0.0,0.0224,0.1786,0.3,0.3142,0.6
37ZUGP9H9BONPT0XCKXE3200JPH817,0.0,0.0,0.051,0.3143,0.3788,0.5742
37ZUGP9H9BONPT0XCKXE3201JQL81F,0.0,0.0,0.0,0.23,0.286,0.4221
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,0.0,0.0,0.0,0.1469,0.186,0.2084
