imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.0174,0.0802,0.2397,0.302,0.302
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0,0.058,0.2028,0.2028,0.2028
30E2X49V611K26Z0IIHLB47CQY63NG,0.0139,0.0341,0.071,0.1142,0.1142,0.1142
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0038,0.0586,0.1169,0.2602,0.2602,0.2602
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.011,0.0651,0.1146,0.2085,0.2894,0.2894
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0366,0.1025,0.2144,0.3322,0.3322,0.3322
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0,0.0097,0.0398,0.1117,0.1117,0.1117
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0647,0.1048,0.269,0.3799,0.3799,0.3799
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0,0.1313,0.8349,0.8349,0.8349
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0736,0.1919,0.2928,0.2928
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0129,0.0461,0.0868,0.2249,0.2837,0.2837
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0081,0.0333,0.045,0.2506,0.2506,0.2506
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.025,0.1265,0.2045,0.3148,0.3148,0.3148
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0027,0.1737,0.2848,0.2848
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0355,0.0749,0.1043,0.193,0.193,0.193
320GLP60AN6FM9FGZXIOL5AG38941T,0.0154,0.1306,0.3687,0.5153,0.5611,0.5611
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0314,0.1646,0.2648,0.2648
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0006,0.0294,0.1057,0.1057,0.1057
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0154,0.0187,0.1855,0.2617,0.2617
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0132,0.0344,0.0614,0.0963,0.0963,0.0963
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0458,0.1344,0.1685,0.2014,0.3182,0.3182
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0093,0.0275,0.053,0.2261,0.5747,0.5747
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0156,0.1778,0.3077,0.5274
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.0615,0.1204,0.2322,0.3142,0.4326,0.4326
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0,0.035,0.1274,0.3376,0.3376,0.3376
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.0342,0.0517,0.2039,0.2039,0.2039
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0,0.0357,0.0696,0.1219,0.1219,0.1219
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0,0.0174,0.0679,0.0679,0.0679
330XZFCZ7RB627L6HWI9543W690TXG,0.0,0.1058,0.2353,0.3784,0.5101,0.5101
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0,0.0191,0.027,0.0613,0.0613,0.0613
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0,0.0383,0.058,0.1031,0.1031,0.1031
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.0113,0.106,0.1644,0.3436,0.3651,0.4155
33RX46D1RXVH625SCIG7UWSYT80X1J,0.0707,0.1012,0.1454,0.4159,0.4159,0.4159
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.0186,0.1198,0.1661,0.302,0.302,0.302
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0,0.0515,0.0894,0.2837,0.2837,0.2837
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0,0.033,0.0715,0.2906,0.2906,0.2906
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0,0.0,0.0205,0.1454,0.1702,0.2168
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0,0.0,0.037,0.1783,0.195,0.237
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,0.0,0.0025,0.0845,0.1946,0.237,0.2635
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,0.0,0.0,0.0535,0.1769,0.2045,0.237
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.0,0.0,0.0173,0.1986,0.2435,0.2604
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,0.1025,0.1929,0.426,0.5657,0.5657,0.5657
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0.0,0.0,0.0327,0.3259,0.3259,0.3259
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.0,0.0,0.044,0.2334,0.5185,0.5185
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,0.0,0.0,0.0498,0.2657,0.2752,0.2789
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,0.0,0.0,0.0,0.2202,0.2875,0.4087
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,0.0,0.0626,0.1948,0.4155,0.5064,0.5064
35QUA2ABY634ZYN782PTB2BL5I8EGJ,0.0026,0.0802,0.1113,0.1141,0.1141,0.1141
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,0.0,0.0,0.0,0.1941,0.4771,0.4771
361LJMRMCQ5CDYJ025B6700NV8CUR4,0.0,0.041,0.0836,0.4347,0.5994,0.5994
369VX4MEOJAKM0DV8XRK62EAJWKGI1,0.0,0.0,0.0217,0.2254,0.3556,0.3556
36ARV8EEH67U95XPYN59VTZKFJ2VA1,0.0,0.0,0.0753,0.1517,0.1517,0.1517
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,0.0695,0.1564,0.2604,0.5369,0.5585,0.5585
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,0.0562,0.0846,0.1965,0.4468,0.4734,0.5194
36HGGQAXL6L87J29O35QD9YQWSFBVG,0.0,0.0294,0.0546,0.1168,0.1168,0.1168
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,0.0,0.0286,0.0852,0.1742,0.1742,0.1742
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,0.0004,0.0507,0.2443,0.3653,0.3653,0.3653
36QDS77QN9NG5USZQM0XMAC2L97HFT,0.0041,0.0215,0.366,0.5874,0.6971,0.6971
36QDS77QN9Y3AP81GU3ZJ983H37HFJ,0.0028,0.0105,0.028,0.0777,0.0777,0.0777
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,0.0,0.0143,0.0312,0.0647,0.0647,0.0647
375FCEJV4GX4B1VR293XJCDD0I7CCJ,0.0458,0.104,0.1993,0.3849,0.5185,0.5724
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,0.0,0.0,0.0482,0.1858,0.1858,0.1858
37672WDDC2JA93V4O46FCCJ2VAJNM9,0.0,0.0018,0.0474,0.1036,0.1036,0.1036
378UBY8FQ61LFCJMHZWZTRZI59A8TB,0.0119,0.1288,0.2721,0.5598,0.5989,0.5989
378UBY8FR7AABMKBM232FCEFT60T8E,0.0,0.0723,0.1479,0.3558,0.4163,0.4163
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR,0.0,0.01,0.0367,0.0902,0.0902,0.0902
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,0.0,0.0,0.0,0.0516,0.0518,0.0788
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_1,0.0,0.0,0.0024,0.0522,0.075,0.075
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_2,0.0,0.0,0.007,0.0516,0.0518,0.075
37FXVUXR5NUGX6LAN3N06Z6PNZ6EWN,0.0,0.0216,0.0567,0.1233,0.1233,0.1233
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,0.0,0.0,0.0158,0.2244,0.5197,0.5936
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,0.0,0.0,0.03,0.3119,0.3119,0.3119
37ZHE2JT1D250TKIB56TICN73UM88S,0.0097,0.0222,0.0772,0.2096,0.2096,0.2096
37ZHE2JT1D250TKIB56TICN73UQ88W,0.0264,0.0759,0.0798,0.2192,0.2192,0.2192
37ZUGP9H9BONPT0XCKXE3200JPH817,0.0027,0.0229,0.0928,0.2815,0.2815,0.2815
37ZUGP9H9BONPT0XCKXE3201JQL81F,0.0,0.0,0.0028,0.1706,0.2863,0.2863
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,0.0094,0.0191,0.0211,0.053,0.053,0.053
389X50RO4VDYCDHURIYQ7760LL5343,0.0,0.0189,0.0687,0.1122,0.1122,0.1122
38DNTK7MFN2OC2PZPWU81IIJXME01H,0.0157,0.0321,0.0453,0.1051,0.147,0.1552
38DNTK7MFN34LCW85JTSAD2CXFQ01S,0.0372,0.0501,0.1166,0.3933,0.3933,0.3933
38DNTK7MFN3UAZX8DF8S385AB3E10K,0.0,0.0257,0.0715,0.3923,0.4358,0.5079
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,0.0,0.037,0.0897,0.1723,0.2111,0.2111
38GRQLZZQQCOARQX7FK2NWOBS4K0CN,0.0,0.0,0.0,0.0353,0.1106,0.4074
38IOEK81UIQHG7BFV93TAAEQ3W496W,0.0,0.0,0.0,0.3609,0.3609,0.3609
38LYNH3Q4ODLGFNEHSAP2J87XNZMGY,0.0,0.0,0.0242,0.1031,0.1031,0.1031
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,0.0245,0.0833,0.1805,0.2409,0.3222,0.3222
38MNOT6KWIG21RX6PKH1YJB8VKDT05,0.0,0.0,0.0,0.0171,0.099,0.4237
38MNOT6KWIG21RX6PKH1YJB8VKDT05_1,0.0,0.0,0.0,0.4794,0.4794,0.4794
38MNOT6KWIG21RX6PKH1YJB8VKDT05_2,0.0,0.0,0.0,0.2485,0.4822,0.4822
38NH2CI7ROPJ1MAJ3F139HJ5CPPVU5,0.0033,0.0434,0.0815,0.2765,0.2765,0.2765
38NH2CI7SPCMWUJ4T62C2GD654VVUY,0.0,0.0,0.0363,0.1797,0.2318,0.2742
38VQ1AW9T5WCGLEK2ZAP9I6I4O826I,0.0,0.1385,0.198,0.4264,0.4264,0.4264
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,0.0,0.012,0.0248,0.1737,0.1737,0.1737
39393HGTI5QMIY6JHIT1M5IIGWJEOF,0.0931,0.1389,0.3888,0.5296,0.5296,0.5296
394TEHR260P29GUZO0UUQSDZ63O65J,0.0,0.0,0.0116,0.1239,0.1239,0.1239
39PLFW4P2L2RPNN40J9QB1XCZ2O4HT,0.035,0.0716,0.1058,0.23,0.2804,0.3134
39UNKKTVDF8Y9H8JFO9U930XMBHYGJ,0.0,0.0,0.0,0.0,0.0396,0.0566
39UNKKTVDFFX9VEX2EW7RYBUQ2JGYD,0.0,0.0307,0.0506,0.2857,0.2857,0.2857
39VNNFFKK59EW3XI1HP5P046ZAXXVP,0.001,0.035,0.0648,0.1426,0.169,0.169
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,0.0501,0.0759,0.088,0.1403,0.2012,0.2012
39Y8ZSVZXXM4Z9DMIL8I9OJZBK9VZ6,0.0,0.087,0.1346,0.3213,0.3213,0.3213
3AA189Q6B51983MEFLORU493K7KMWE,0.0,0.0241,0.0758,0.2484,0.2484,0.2484
3AA189Q6B52Z6L7EV3NS06BHCKRWMY,0.0,0.0287,0.1089,0.342,0.342,0.342
