imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.0,0.102,0.2479,0.2598,0.345
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0,0.077,0.2527,0.2546,0.2618
30E2X49V611K26Z0IIHLB47CQY63NG,0.0,0.015,0.0757,0.2216,0.235,0.2404
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0,0.0,0.0616,0.4096,0.4283,0.4874
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.0,0.0572,0.2782,0.3194,0.3898
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0,0.1149,0.1895,0.3237,0.4094,0.4226
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0,0.015,0.05,0.14,0.14,0.148
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0,0.1248,0.2528,0.377,0.4648,0.4881
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0,0.3226,0.6109,0.6336,0.655
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0,0.3274,0.3544,0.3676
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0,0.0507,0.2945,0.3603,0.4776
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0,0.0,0.1151,0.2806,0.31,0.3695
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0,0.0338,0.2124,0.4883,0.6861,0.7858
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.224,0.2604,0.379
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0,0.05,0.1374,0.2395,0.2882,0.3744
320GLP60AN6FM9FGZXIOL5AG38941T,0.0,0.2257,0.4362,0.6513,0.6623,0.7015
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0066,0.239,0.33,0.4433
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0,0.055,0.1079,0.1881,0.2475
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0,0.0284,0.2021,0.2355,0.3132
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0,0.0,0.025,0.1321,0.1824,0.2044
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0,0.07,0.15,0.32,0.3366,0.386
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0,0.05,0.2725,0.315,0.5257
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0,0.1488,0.4022,0.64
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.045,0.1353,0.2332,0.377,0.4177,0.4494
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0,0.052,0.1298,0.226,0.2841,0.2974
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.0,0.0495,0.2028,0.3078,0.3175
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0,0.0,0.0671,0.2193,0.2923,0.3544
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0,0.0,0.06,0.1067,0.2455
330XZFCZ7RB627L6HWI9543W690TXG,0.0,0.0704,0.2076,0.4408,0.5345,0.6249
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0,0.0,0.0007,0.1372,0.1868,0.2422
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0,0.0,0.0,0.1988,0.305,0.3756
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.027,0.111,0.1942,0.3167,0.4133,0.5495
33RX46D1RXVH625SCIG7UWSYT80X1J,0.0428,0.1144,0.267,0.382,0.3977,0.4174
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.0,0.0777,0.2054,0.2589,0.2864,0.3035
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0,0.0,0.0651,0.3399,0.3603,0.4466
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0,0.0,0.115,0.3022,0.3718,0.3842
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0,0.0,0.0,0.1642,0.22,0.4188
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0,0.0,0.0,0.2113,0.2661,0.4648
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,0.0,0.0,0.0001,0.2352,0.3211,0.4696
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,0.0,0.0,0.0,0.23,0.2944,0.4648
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.0,0.0,0.0,0.1632,0.2569,0.6543
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,0.0617,0.1991,0.3376,0.6819,0.699,0.7663
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0.0,0.0,0.075,0.2193,0.2508,0.2962
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.0,0.0,0.039,0.2731,0.3188,0.408
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,0.0,0.0,0.092,0.1794,0.2128,0.284
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,0.0,0.0,0.0,0.2206,0.3331,0.6208
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,0.0,0.065,0.16,0.406,0.4614,0.4721
