imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.0013,0.0559,0.3559,0.4207,0.4732
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0,0.0742,0.2089,0.3962,0.3962
30E2X49V611K26Z0IIHLB47CQY63NG,0.0,0.0,0.0683,0.2031,0.2327,0.2327
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0,0.0,0.1052,0.2462,0.2892,0.3105
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.0,0.052,0.2637,0.3743,0.6571
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0,0.008,0.158,0.4285,0.517,0.517
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0,0.0,0.0141,0.1195,0.3754,0.3754
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0076,0.1069,0.241,0.4545,0.468,0.4911
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0,0.1004,0.7781,0.8057,0.8595
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0,0.2713,0.3728,0.428
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0114,0.0579,0.1883,0.5386,0.6347
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0,0.0058,0.0781,0.2844,0.4489,0.4489
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0091,0.0483,0.2332,0.4303,0.4431,0.4485
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.1807,0.357,0.46
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0,0.0372,0.0994,0.3525,0.3573,0.4244
320GLP60AN6FM9FGZXIOL5AG38941T,0.0,0.1498,0.4411,0.6849,0.723,0.7478
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0077,0.1726,0.2665,0.4058
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0,0.0,0.1355,0.187,0.187
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0,0.0266,0.1718,0.3592,0.4969
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0,0.0,0.0543,0.1329,0.1793,0.1793
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0,0.0321,0.1584,0.3028,0.5786,0.743
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0,0.0394,0.2607,0.4306,0.6535
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0,0.1851,0.2933,0.9165
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.0,0.1189,0.2279,0.4069,0.5687,0.5776
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0,0.0134,0.1111,0.4436,0.5007,0.5007
