imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0108,0.0343,0.069,0.1543,0.1543,0.1543
30E2X49V611K26Z0IIHLB47CQY53NF,0,0,0,0,0,0
30E2X49V611K26Z0IIHLB47CQY63NG,0,0,0,0,0,0
30GUUI0R316PRKEN69AJEXY15MMBCT,0.003,0.003,0.003,0.1612,0.1612,0.1612
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0152,0.0312,0.1308,0.1549,0.1549,0.1549
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0,0,0,0,0,0
31QBDMKNDPO96CGOU6OI3UH1N96L85,0,0,0,0,0,0
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0304,0.0304,0.0304,0.2102,0.2102,0.2102
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.1031,0.155,0.2272,0.2272,0.2272,0.2272
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0,0.0518,0.0518,0.0518
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.009,0.0497,0.0566,0.1399,0.1399,0.1399
3203J2GC2PK4HSXGZ2GG107218V84Q,0,0,0,0,0,0
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0344,0.0344,0.0344,0.2222,0.2222,0.2222
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0046,0.0046,0.0046,0.0651,0.0651,0.0651
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.035,0.035,0.035,0.1371,0.1371,0.1371
320GLP60AN6FM9FGZXIOL5AG38941T,0.2223,0.2223,0.2223,0.3591,0.3591,0.3591
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0195,0.0204,0.0251,0.0642,0.0642,0.0642
3244QHISJ1ITNE98CFK36E7RG91L0N,0,0,0,0,0,0
3244QHISK2XKVEPCAXDY38M44I9L04,0.0281,0.0281,0.0281,0.0534,0.0534,0.0534
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0,0,0,0,0,0
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0878,0.1195,0.1904,0.1904,0.1904,0.1904
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0348,0.049,0.2298,0.2298,0.2298
