imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0157,0.0237,0.095,0.1933,0.1933,0.1933
30E2X49V611K26Z0IIHLB47CQY53NF,0.0401,0.0401,0.0401,0.0733,0.0733,0.0733
30E2X49V611K26Z0IIHLB47CQY63NG,0.0399,0.0399,0.0399,0.0682,0.0682,0.0682
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0325,0.0572,0.1088,0.113,0.113,0.113
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0402,0.0603,0.113,0.1687,0.1687,0.1687
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0585,0.0585,0.0585,0.2186,0.2186,0.2186
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0124,0.0124,0.0124,0.0464,0.0464,0.0464
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.1259,0.1379,0.1479,0.187,0.187,0.187
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.014,0.1463,0.4864,0.4864,0.4864,0.4864
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.016,0.1643,0.1643,0.1643
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0345,0.0399,0.0509,0.1967,0.1967,0.1967
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0226,0.0226,0.0226,0.1661,0.1661,0.1661
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0872,0.1072,0.1388,0.1802,0.1802,0.1802
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.1399,0.1399,0.1399
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0672,0.0979,0.1163,0.1163,0.1163,0.1163
320GLP60AN6FM9FGZXIOL5AG38941T,0.0619,0.3148,0.3612,0.4789,0.4789,0.4789
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0028,0.0157,0.0529,0.1088,0.1088,0.1088
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0222,0.0222,0.0222,0.0359,0.0359,0.0359
3244QHISK2XKVEPCAXDY38M44I9L04,0.0077,0.0079,0.009,0.1459,0.1459,0.1459
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0086,0.0086,0.0086,0.0496,0.0496,0.0496
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.1125,0.1252,0.1422,0.1798,0.1798,0.1798
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0285,0.0301,0.1237,0.2002,0.2002,0.2002
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0061,0.1264,0.2476,0.2476
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.1256,0.1337,0.2068,0.2289,0.2289,0.2289
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0403,0.0403,0.0403,0.121,0.121,0.121
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0255,0.0584,0.0811,0.0811,0.0811,0.0811
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0266,0.033,0.0452,0.0888,0.0888,0.0888
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0202,0.044,0.044,0.044,0.044
330XZFCZ7RB627L6HWI9543W690TXG,0.0954,0.1254,0.158,0.2221,0.2221,0.2221
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0225,0.0243,0.038,0.038,0.038,0.038
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0309,0.0496,0.0619,0.0619,0.0619,0.0619
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.0678,0.1066,0.1179,0.309,0.309,0.309
33RX46D1RXVH625SCIG7UWSYT80X1J,0.1122,0.157,0.2529,0.2529,0.2529,0.2529
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.0865,0.1054,0.1434,0.1434,0.1434,0.1434
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0388,0.0507,0.1967,0.1967,0.1967,0.1967
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.048,0.048,0.048,0.0896,0.0896,0.0896
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0055,0.0128,0.0295,0.0709,0.0717,0.1004
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0032,0.0357,0.0479,0.0748,0.0913,0.1494
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,0.0172,0.0357,0.0599,0.1533,0.1533,0.1533
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,0.0094,0.0363,0.0577,0.0983,0.1494,0.1494
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.0051,0.0055,0.023,0.0651,0.1329,0.1329
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,0.2125,0.325,0.3355,0.3355,0.3355,0.3355
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0.0,0.0304,0.1747,0.1747,0.1747,0.1747
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.0116,0.0314,0.0985,0.1305,0.1305,0.1305
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,0.0,0.0697,0.0763,0.0806,0.0806,0.0806
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,0.0,0.0,0.0462,0.1348,0.1948,0.1948
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,0.0236,0.1056,0.1523,0.2026,0.2026,0.2026
35QUA2ABY634ZYN782PTB2BL5I8EGJ,0.0406,0.0406,0.0406,0.0686,0.0686,0.0686
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,0.0,0.0,0.0,0.2161,0.2161,0.2161
361LJMRMCQ5CDYJ025B6700NV8CUR4,0.0346,0.0644,0.067,0.303,0.303,0.303
369VX4MEOJAKM0DV8XRK62EAJWKGI1,0.0053,0.0054,0.0246,0.1923,0.1923,0.1923
36ARV8EEH67U95XPYN59VTZKFJ2VA1,0.0186,0.0256,0.0548,0.0749,0.0749,0.0749
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,0.1612,0.1845,0.2549,0.3136,0.3136,0.3136
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,0.0662,0.0894,0.2632,0.3022,0.3022,0.3022
36HGGQAXL6L87J29O35QD9YQWSFBVG,0.0425,0.0425,0.0425,0.0527,0.0527,0.0527
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,0.0327,0.053,0.0606,0.0606,0.0606,0.0606
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,0.043,0.043,0.043,0.1947,0.1947,0.1947
36QDS77QN9NG5USZQM0XMAC2L97HFT,0.1217,0.2163,0.2451,0.2953,0.2953,0.2953
36QDS77QN9Y3AP81GU3ZJ983H37HFJ,0.0274,0.0274,0.0274,0.037,0.037,0.037
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,0.0162,0.0233,0.0405,0.0405,0.0405,0.0405
375FCEJV4GX4B1VR293XJCDD0I7CCJ,0.0988,0.1373,0.1644,0.2485,0.2485,0.2485
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,0.0,0.0,0.0,0.0763,0.0763,0.0763
37672WDDC2JA93V4O46FCCJ2VAJNM9,0.0,0.0,0.0,0.06,0.06,0.06
378UBY8FQ61LFCJMHZWZTRZI59A8TB,0.0848,0.1072,0.2334,0.3452,0.3452,0.3452
378UBY8FR7AABMKBM232FCEFT60T8E,0.0369,0.0444,0.0573,0.2527,0.2527,0.2527
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR,0.0099,0.0099,0.0099,0.0294,0.0294,0.0294
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,0.0,0.0,0.0129,0.0186,0.0263,0.0263
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_1,0.0,0.0006,0.0156,0.0254,0.0254,0.0254
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_2,0.0,0.0027,0.0129,0.0254,0.0254,0.0254
37FXVUXR5NUGX6LAN3N06Z6PNZ6EWN,0.0195,0.0271,0.032,0.0643,0.0643,0.0643
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,0.0,0.0012,0.0092,0.2932,0.2932,0.2932
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,0.0131,0.0156,0.1559,0.1559,0.1559,0.1559
37ZHE2JT1D250TKIB56TICN73UM88S,0.0236,0.0269,0.0425,0.1411,0.1411,0.1411
37ZHE2JT1D250TKIB56TICN73UQ88W,0.0754,0.0754,0.0754,0.1177,0.1177,0.1177
37ZUGP9H9BONPT0XCKXE3200JPH817,0.0264,0.0298,0.088,0.1428,0.1428,0.1428
37ZUGP9H9BONPT0XCKXE3201JQL81F,0.0,0.0007,0.0191,0.132,0.132,0.132
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,0.015,0.015,0.015,0.0286,0.0286,0.0286
389X50RO4VDYCDHURIYQ7760LL5343,0.0085,0.0085,0.0085,0.0667,0.0667,0.0667
38DNTK7MFN2OC2PZPWU81IIJXME01H,0.0304,0.0372,0.0448,0.0728,0.0728,0.0728
38DNTK7MFN34LCW85JTSAD2CXFQ01S,0.0211,0.0211,0.0211,0.2052,0.2052,0.2052
38DNTK7MFN3UAZX8DF8S385AB3E10K,0.0258,0.0384,0.114,0.3163,0.3163,0.3163
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,0.0415,0.0534,0.0654,0.0778,0.0778,0.0778
38GRQLZZQQCOARQX7FK2NWOBS4K0CN,0.0,0.0,0.0,0.0623,0.0844,0.1131
