imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0137,0.0386,0.1146,0.194,0.194,0.194
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0,0.0,0.1273,0.1273,0.1273
30E2X49V611K26Z0IIHLB47CQY63NG,0.0032,0.0032,0.0032,0.0889,0.0889,0.0889
30GUUI0R316PRKEN69AJEXY15MMBCT,0.006,0.0694,0.0694,0.1738,0.1738,0.1738
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0004,0.0317,0.111,0.2745,0.2745,0.2745
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0597,0.0597,0.0597,0.2,0.2,0.2
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0078,0.0078,0.0078,0.0469,0.0469,0.0469
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0337,0.1436,0.1793,0.216,0.216,0.216
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.1694,0.3099,0.4333,0.4333,0.4333
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0961,0.1666,0.1666,0.1666
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0402,0.0679,0.2118,0.2118,0.2118
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0691,0.0691,0.0691,0.1327,0.1327,0.1327
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0514,0.067,0.1051,0.2293,0.2293,0.2293
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0092,0.1301,0.1301,0.1301
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0393,0.0575,0.0703,0.1468,0.1468,0.1468
320GLP60AN6FM9FGZXIOL5AG38941T,0.1962,0.2326,0.3136,0.4856,0.4856,0.4856
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0245,0.0391,0.1284,0.1284,0.1284
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0,0.0,0.0492,0.0492,0.0492
3244QHISK2XKVEPCAXDY38M44I9L04,0.0071,0.0117,0.0496,0.0951,0.0951,0.0951
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0139,0.029,0.1017,0.1017,0.1017,0.1017
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0727,0.1156,0.1608,0.2201,0.2201,0.2201
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0333,0.0495,0.1871,0.3166,0.3166
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0182,0.1244,0.2154,0.2154
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.0904,0.1637,0.1803,0.2772,0.2772,0.2772
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0178,0.0178,0.0178,0.1442,0.1442,0.1442
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.014,0.0806,0.1259,0.1259,0.1259
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0231,0.0233,0.0364,0.1231,0.1231,0.1231
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0,0.0299,0.0635,0.0635,0.0635
330XZFCZ7RB627L6HWI9543W690TXG,0.0649,0.0985,0.2478,0.3735,0.3735,0.3735
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0,0.0102,0.0345,0.0806,0.0806,0.0806
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0,0.0114,0.067,0.1226,0.1226,0.1226
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.074,0.1308,0.1849,0.2525,0.3854,0.3854
33RX46D1RXVH625SCIG7UWSYT80X1J,0.0992,0.1011,0.1384,0.282,0.282,0.282
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.0235,0.0913,0.1458,0.1883,0.1883,0.1883
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0286,0.043,0.1029,0.1949,0.1949,0.1949
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0,0.0,0.0,0.1672,0.1672,0.1672
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0,0.0068,0.0335,0.0825,0.091,0.125
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0,0.0307,0.0386,0.0636,0.0965,0.1933
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,0.0,0.0327,0.0488,0.1146,0.1933,0.1933
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,0.0,0.0314,0.0418,0.0965,0.1444,0.1933
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.0,0.0077,0.0301,0.0825,0.0958,0.0958
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,0.1232,0.2565,0.2849,0.3523,0.3523,0.3523
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0.0,0.0456,0.1025,0.1029,0.1029,0.1029
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.0,0.0223,0.058,0.1553,0.1553,0.1553
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,0.0071,0.0339,0.0722,0.1184,0.1184,0.1184
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,0.0,0.0,0.0071,0.1752,0.2557,0.3448
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,0.0065,0.0618,0.1346,0.3329,0.3329,0.3329
35QUA2ABY634ZYN782PTB2BL5I8EGJ,0.0184,0.0184,0.0184,0.0825,0.0825,0.0825
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,0.0,0.0,0.0184,0.1633,0.1633,0.1633
361LJMRMCQ5CDYJ025B6700NV8CUR4,0.0392,0.0897,0.0963,0.2707,0.2707,0.2707
369VX4MEOJAKM0DV8XRK62EAJWKGI1,0.0,0.008,0.055,0.2611,0.2611,0.2611
36ARV8EEH67U95XPYN59VTZKFJ2VA1,0.0056,0.0202,0.0493,0.1399,0.1399,0.1399
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,0.1379,0.2062,0.3048,0.401,0.401,0.401
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,0.075,0.0976,0.2632,0.372,0.372,0.372
36HGGQAXL6L87J29O35QD9YQWSFBVG,0.0101,0.0101,0.0101,0.074,0.074,0.074
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,0.0,0.0166,0.0247,0.1119,0.1119,0.1119
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,0.0459,0.0459,0.0459,0.1939,0.1939,0.1939
36QDS77QN9NG5USZQM0XMAC2L97HFT,0.0001,0.1319,0.3198,0.5542,0.5542,0.5542
36QDS77QN9Y3AP81GU3ZJ983H37HFJ,0.0,0.0,0.0,0.0557,0.0557,0.0557
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,0.0,0.0088,0.0443,0.059,0.059,0.059
375FCEJV4GX4B1VR293XJCDD0I7CCJ,0.0717,0.1523,0.2148,0.2467,0.2916,0.2916
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,0.0032,0.0032,0.0032,0.0837,0.0837,0.0837
37672WDDC2JA93V4O46FCCJ2VAJNM9,0.0,0.0,0.0,0.1085,0.1085,0.1085
378UBY8FQ61LFCJMHZWZTRZI59A8TB,0.0927,0.1124,0.3059,0.4018,0.4018,0.4018
378UBY8FR7AABMKBM232FCEFT60T8E,0.0317,0.0868,0.1707,0.3014,0.3014,0.3014
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR,0.0,0.0139,0.0452,0.0452,0.0452,0.0452
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,0.0,0.0,0.0016,0.0261,0.0593,0.0593
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_1,0.0,0.0,0.0032,0.0577,0.0577,0.0577
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_2,0.0,0.0002,0.0038,0.0232,0.0582,0.0582
37FXVUXR5NUGX6LAN3N06Z6PNZ6EWN,0.0,0.0191,0.0887,0.1015,0.1015,0.1015
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,0.0,0.0059,0.0113,0.2516,0.2845,0.2845
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,0.0068,0.014,0.0602,0.1689,0.1689,0.1689
37ZHE2JT1D250TKIB56TICN73UM88S,0.0474,0.0488,0.0516,0.1381,0.1381,0.1381
37ZHE2JT1D250TKIB56TICN73UQ88W,0.0222,0.0222,0.0222,0.1678,0.1678,0.1678
37ZUGP9H9BONPT0XCKXE3200JPH817,0.0018,0.0398,0.0535,0.1426,0.1426,0.1426
37ZUGP9H9BONPT0XCKXE3201JQL81F,0.0,0.0,0.0021,0.1316,0.1316,0.1316
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,0.0,0.0,0.0,0.0654,0.0654,0.0654
389X50RO4VDYCDHURIYQ7760LL5343,0.0,0.0,0.0,0.0789,0.0789,0.0789
38DNTK7MFN2OC2PZPWU81IIJXME01H,0.0,0.0037,0.0621,0.1219,0.1424,0.1424
38DNTK7MFN34LCW85JTSAD2CXFQ01S,0.0919,0.1004,0.222,0.222,0.222,0.222
38DNTK7MFN3UAZX8DF8S385AB3E10K,0.0028,0.0464,0.075,0.2643,0.3171,0.3171
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,0.0177,0.0345,0.0953,0.1484,0.1484,0.1484
38GRQLZZQQCOARQX7FK2NWOBS4K0CN,0.0,0.0,0.0,0.0381,0.1052,0.1316
38IOEK81UIQHG7BFV93TAAEQ3W496W,0.0,0.0,0.0,0.178,0.178,0.178
38LYNH3Q4ODLGFNEHSAP2J87XNZMGY,0.0,0.0,0.0,0.0813,0.0813,0.0813
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,0.0533,0.0749,0.1597,0.2064,0.2064,0.2064
38MNOT6KWIG21RX6PKH1YJB8VKDT05,0.0,0.0,0.0,0.1582,0.1582,0.1582
38MNOT6KWIG21RX6PKH1YJB8VKDT05_1,0.0,0.0,0.0,0.186,0.186,0.186
38MNOT6KWIG21RX6PKH1YJB8VKDT05_2,0.0,0.0,0.0,0.2255,0.2255,0.2255
38NH2CI7ROPJ1MAJ3F139HJ5CPPVU5,0.0149,0.026,0.0557,0.2027,0.2027,0.2027
38NH2CI7SPCMWUJ4T62C2GD654VVUY,0.0099,0.0198,0.0471,0.1381,0.1633,0.1745
38VQ1AW9T5WCGLEK2ZAP9I6I4O826I,0.0168,0.0168,0.0168,0.1897,0.1897,0.1897
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,0.0,0.014,0.0695,0.0747,0.0747,0.0747
39393HGTI5QMIY6JHIT1M5IIGWJEOF,0.1102,0.2214,0.2317,0.3447,0.3447,0.3447
394TEHR260P29GUZO0UUQSDZ63O65J,0.0,0.0,0.0,0.0459,0.0459,0.0459
39PLFW4P2L2RPNN40J9QB1XCZ2O4HT,0.0508,0.0678,0.0929,0.1949,0.2107,0.2107
39UNKKTVDF8Y9H8JFO9U930XMBHYGJ,0.0,0.0,0.0,0.0037,0.0324,0.0324
39UNKKTVDFFX9VEX2EW7RYBUQ2JGYD,0.0,0.0,0.0,0.1449,0.1449,0.1449
39VNNFFKK59EW3XI1HP5P046ZAXXVP,0.0,0.0042,0.0648,0.1008,0.1008,0.1008
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,0.0317,0.0456,0.0553,0.1158,0.1158,0.1158
39Y8ZSVZXXM4Z9DMIL8I9OJZBK9VZ6,0.0,0.0194,0.1487,0.2049,0.2049,0.2049
3AA189Q6B51983MEFLORU493K7KMWE,0.0,0.0267,0.0656,0.1621,0.1621,0.1621
3AA189Q6B52Z6L7EV3NS06BHCKRWMY,0.0109,0.0236,0.154,0.3815,0.3815,0.3815
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,0.0,0.0,0.0192,0.2149,0.2149,0.2149
3AA189Q6C6TLNJILLV2LOGYDJT7MWV,0.0,0.047,0.1529,0.262,0.262,0.262
3AJ89545NQHYX91N7X3ADUYHKVTBEA,0.0447,0.0447,0.0447,0.1986,0.1986,0.1986
3AJ89545NQRFJUS6JU65GFBBEJ7BEW,0.0,0.0055,0.044,0.1633,0.1633,0.1633
