imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.0094,0.0945,0.2354,0.2844,0.3199
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0,0.1121,0.2429,0.2429,0.2429
30E2X49V611K26Z0IIHLB47CQY63NG,0.0,0.0252,0.0763,0.2025,0.2025,0.2025
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0,0.0345,0.124,0.3433,0.3661,0.3661
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.0,0.0868,0.2994,0.3675,0.4163
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0294,0.1116,0.1795,0.2987,0.3655,0.3655
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0,0.0,0.0378,0.126,0.1265,0.1265
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0389,0.1308,0.2522,0.3955,0.3962,0.3962
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0,0.2955,0.5628,0.8933,0.8933
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0596,0.2386,0.3466,0.3466
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0,0.0743,0.2611,0.3127,0.3305
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0,0.0161,0.0845,0.2964,0.3223,0.3223
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0065,0.0945,0.2176,0.3368,0.3789,0.3789
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.2537,0.2798,0.2899
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0,0.0517,0.1184,0.2467,0.2845,0.2845
320GLP60AN6FM9FGZXIOL5AG38941T,0.012,0.184,0.3998,0.6401,0.7065,0.7065
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0201,0.1895,0.2218,0.3083
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0,0.0396,0.1298,0.1298,0.1298
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0172,0.0367,0.2402,0.2497,0.2735
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0,0.0,0.032,0.1233,0.1923,0.1923
32GVUSPLEYOYH9SP841K39EVOUOK3Z,0.0,0.0708,0.1506,0.2927,0.3486,0.3491
32GVUSPLFZ61Q5EOZV799O813X5K3C,0.0,0.0,0.0515,0.2763,0.4511,0.5961
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,0.0,0.0,0.0005,0.1506,0.2994,0.76
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.049,0.1399,0.201,0.3423,0.4596,0.551
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.0,0.009,0.1248,0.2727,0.4028,0.4028
32WAV7G60PNC75TK9C1M3A29EH0D36,0.0,0.0,0.0581,0.1624,0.2074,0.2074
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N,0.0,0.0,0.102,0.1929,0.2428,0.2428
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.0,0.0,0.0,0.088,0.1214,0.1214
330XZFCZ7RB627L6HWI9543W690TXG,0.0,0.0639,0.2271,0.4613,0.4742,0.5457
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.0,0.0,0.0357,0.0669,0.1221,0.1221
33FLRCV01N0NF725EJLGLLU8UGYORG,0.0,0.0,0.0452,0.1337,0.2073,0.2073
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.0187,0.1041,0.1991,0.3591,0.4312,0.4779
33RX46D1RXVH625SCIG7UWSYT80X1J,0.0411,0.1088,0.1705,0.5338,0.555,0.555
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.014,0.1192,0.1684,0.2427,0.3613,0.3613
344RGS4J7S874QSQIPH3B5TQWFPMPU,0.0,0.0,0.1065,0.2954,0.3305,0.3305
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1,0.0,0.0,0.1432,0.2889,0.2927,0.2927
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.0,0.0,0.0123,0.1278,0.2046,0.2547
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.0,0.0,0.0,0.2495,0.3538,0.474
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,0.0,0.0,0.0032,0.2621,0.3564,0.5259
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,0.0,0.0,0.0,0.2527,0.3474,0.474
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.0,0.0,0.0004,0.1717,0.234,0.3435
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,0.0712,0.196,0.4087,0.5753,0.6888,0.6888
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,0.0,0.0,0.0,0.3148,0.344,0.344
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.0,0.0,0.0169,0.4524,0.4806,0.5574
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,0.0,0.0,0.0387,0.2307,0.2826,0.3741
35GRDJC92I6VOWRC3MF6JHNHWWLC7I,0.0,0.0,0.0,0.2166,0.3196,0.4275
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,0.0,0.052,0.1923,0.3787,0.6347,0.6347
