imageID,"25% of windows have density equal to or less","50% of windows have density equal to or less","75% of windows have density equal to or less","95% of windows have density equal to or less","98% of windows have density equal to or less","100% of windows have density equal to or less"
306OACM7G04QOX49OC3VEMIMU7KA8L,0.0,0.0,0.0312,0.4022,0.4948,0.5544
30E2X49V611K26Z0IIHLB47CQY53NF,0.0,0.0,0.0124,0.2748,0.582,0.6906
30E2X49V611K26Z0IIHLB47CQY63NG,0.0,0.0,0.0144,0.2422,0.306,0.3896
30GUUI0R316PRKEN69AJEXY15MMBCT,0.0,0.0,0.078,0.44,0.5244,0.72
319N3DB42B6LKGW48RIT1IUY6MJEPG,0.0,0.0,0.0,0.306,0.395,0.9256
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,0.0,0.0,0.219,0.5112,0.5612,0.669
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.0,0.0,0.0,0.2016,0.3372,0.56
31QOF9ABLNAV27TO4PXO0GLATWO1L1,0.0,0.0678,0.2552,0.5676,0.6362,0.699
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.0,0.0,0.0296,0.6346,0.9456,0.9968
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.0,0.0,0.0,0.2984,0.4576,0.62
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0.0,0.0,0.0,0.3092,0.5358,0.68
3203J2GC2PK4HSXGZ2GG107218V84Q,0.0,0.0,0.0492,0.4334,0.6002,0.715
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.0,0.0108,0.2028,0.544,0.6286,0.7436
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.0,0.0,0.0,0.2292,0.3818,0.576
320GLP60AN5TS9K5PU8IGRVPKUZ14P,0.0,0.0,0.1232,0.3734,0.5472,0.68
320GLP60AN6FM9FGZXIOL5AG38941T,0.0,0.051,0.5082,0.7572,0.8078,0.9028
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.0,0.0,0.0,0.2324,0.3724,0.7524
3244QHISJ1ITNE98CFK36E7RG91L0N,0.0,0.0,0.0,0.2072,0.2552,0.3012
3244QHISK2XKVEPCAXDY38M44I9L04,0.0,0.0,0.0,0.265,0.4724,0.5854
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.0,0.0,0.0,0.18,0.222,0.4344
