GroupId,Sentences,Subclauses,Words,AvgWordLength,numUniqueStems,avgUniqueStems
3QKP95RWR0AXY9I3VQ7SL2A7LGY5XG,80,20,646,4.534375,142,0.21981424148606812
3QLL1RLFYUJL8BWXI76KVR6VTA8G40,22,21,321,3.5083333333333333,27,0.08411214953271028
3QXBZN23LG7N3HYFNCCOI0H4ZPJXNQ,26,7,220,4.242424242424242,4,0.01818181818181818
3R35RPFD7J1GHLW8Y5PUB7E29XSP1C,308,270,5150,3.825573192239859,190,0.036893203883495145
3R35RPFD8KW5RVQQX9OYA2WSE711PN,18,5,185,4.291970802919708,24,0.12972972972972974
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,35,6,308,5.073089700996678,295,0.9577922077922078
3SBA6YTBY276L0SZ55XU5R7VV8FOBP,10,3,70,3.638157894736842,9,0.12857142857142856
3SFRD5IA5Z34MMJO249XJPJMVUHFBF,36,11,301,3.628440366972477,19,0.06312292358803986
3SJ1BZ9YMZFJKL9JAYIH6SXUEFF7N6,24,11,230,4.66358024691358,18,0.0782608695652174
3TR9CMHN3N8E2YCNTAQUMF33CUSBB8,25,7,435,4.220502901353965,14,0.03218390804597701
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,138,65,996,3.249544626593807,4,0.004016064257028112
3U47UEJKWC7M32113CRLFBCBUKFBLV,8,2,66,3.509433962264151,5,0.07575757575757576
3U47UEJKXD5R38RUXLMDWG1BUJXLBR,425,253,5194,3.864448051948052,169,0.032537543319214476
3UEL82N5TO6EUK0Y8E9LV0DUVX2NTJ,35,4,349,3.9679012345679014,35,0.10028653295128939
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,14,2,131,4.726190476190476,0,0.0
3VS2P0ED9S8WCYR5XKUI3WE62NIZOD,86,34,1795,4.759859772129711,110,0.06128133704735376
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,41,27,574,4.072335025380711,1,0.0017421602787456446
3W718UE9EUVUJGAIW7WCSAJ232S8KV,41,16,414,4.435398230088496,16,0.03864734299516908
3WNTBWVI7IICS3U5SPMYXHW39RR1DW,9,1,130,3.502463054187192,13,0.1
3XXLL7ZNZBX2S1C8S0AVX01M47X2SM,16,3,147,2.6940677966101694,25,0.17006802721088435
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,12,7,98,3.4782608695652173,6,0.061224489795918366
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,42,25,572,4.062420382165605,4,0.006993006993006993
3YR6VNT52416IC86SLGIIDTF4TWB78,19,29,231,4.932624113475177,22,0.09523809523809523
3YR6VNT5352GKULNOMVIY5386U67BS,30,9,264,3.8341121495327104,13,0.04924242424242424
3YVLYSYEBF5NUSY0E746VZKOKNG0QY,7,0,54,3.4121621621621623,10,0.18518518518518517
3Z1VWDJDMCXXDMC10K62ECWQF20F8X,42,18,608,3.189153439153439,37,0.06085526315789474
FVQTYRJREL27XZYGVJ9T0T4ZB5RSS,7,2,87,4.1521739130434785,6,0.06896551724137931
