imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1400,0.0000,0.2495,0.0000,0.2589,0.0000,0.0000,0.0000,0.1968,0.0000,0.1860,0.0545,0.0000,0.1520,0.1415,0.0000,0.2006,0.1255,0.1966,0.0217,0.0000,0.1706,0.0000,0.0210,0.1150,0.1163,0.1263,0.1209,0.0000,0.1257,0.0574,0.0831,0.0000,0.0589,0.0000,0.0000,0.0000,0.1350,0.0000,0.1094,0.0000,0.0000,0.0700,0.0000,0.0000,0.0000,0.0000,0.0127,0.0750,0.0000,0.0000,0.0456,0.0000,0.0000,0.0571,0.0161,0.0000,0.0000,0.0000,0.0000,0.0575,0.1304,0.0000,0.0064,0.0000,0.0000,0.0000,0.0000,0.0854,0.0000,0.0000,0.0322,0.0000,0.0000,0.0000,0.0138,0.0000,0.0000,0.0000,0.0196,0.0000,0.0602,0.0000,0.0060,0.0000,0.0000,0.0000,0.0288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;20,18,2,0,0,0,0,0,0,0,0,;0.1003;21;5;100000;5.25;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4021,0.0000,0.0000,0.0000,0.1747,0.1475,0.0000,0.0000,0.0000,0.0000,0.0000,0.1475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0532,0.0000,0.0000,0.0000,0.0000,0.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,5,0,1,0,0,0,0,0,0,0,;0.1558;3;1;20000;3.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4100,0.2345,0.0000,0.0000,0.0000,0.0000,0.0000,0.2025,0.2050,0.0000,0.0000,0.0000,0.2050,0.3625,0.0000,0.0000,0.0000,0.0000,0.0000,0.2130,0.0000,0.0000,0.0000,0.0000,0.2050,0.0000,0.0000,0.0000,0.1633,0.2050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2050,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.0000,0.0000,0.0000,0.2050,0.0000,0.2150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,9,8,2,0,0,0,0,0,0,0,;0.2135;9;2;40000;4.50;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1982,0.0875,0.0000,0.1114,0.1100,0.4643,0.0000,0.0000,0.3170,0.0000,0.0000,0.2473,0.0000,0.1990,0.5090,0.0000,0.0000,0.1365,0.1020,0.0000,0.4350,0.0000,0.0000,0.1025,0.0000,0.0000,0.1700,0.4285,0.0825,0.0000,0.0000,0.0000,0.4000,0.0825,0.1878,0.0000,0.0000,0.0000,0.3108,0.0000,0.0000,0.4017,0.1221,0.0825,0.1973,0.0000,0.0000,0.0000,0.2803,0.0000,0.0693,0.0000,0.0000,0.0198,0.0000,0.2298,0.0330,0.0000,0.0000,0.0000,0.0000,0.0000,0.1750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;12,11,3,4,4,0,0,0,0,0,0,;0.1970;14;3;60000;4.67;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2286,0.0000,0.1768,0.0000,0.0000,0.0000,0.1537,0.0000,0.1429,0.0000,0.0000,0.2445,0.0000,0.0000,0.0000,0.2582,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1300,0.0000,0.1661,0.0000,0.0667,0.0900,0.0000,0.0000,0.1243,0.0000,0.0000,0.1305,0.0000,0.0000,0.1342,0.2825,0.1225,0.4013,0.0000,0.0000,0.3401,0.1039,0.3050,0.1942,0.0000,0.0000,0.2466,0.0000,0.0000,0.2672,0.3085,0.0403,0.1376,0.0000,0.0000,0.0000,0.1408,0.0000,0.2357,0.0000,0.0000,0.0000,0.0000,0.0319,0.0062,0.0000,0.1750,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.1525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0173,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0168,0.0000,0.0448,0.0000,0.0000,0.0000,0.2203,0.0000,0.0000,0.0000,0.0425,0.0000,0.0668,0.0000,0.0000,0.0000,0.0000,0.0242,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.2502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1174,0.0000,0.0000,0.0168,0.0000,0.0000,0.0000,0.0141,0.0000,0.0000,0.0000,0.2223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;18,15,12,2,0,0,0,0,0,0,0,;0.1425;21;4;80000;5.25;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0940,0.0000,0.1225,0.0000,0.1225,0.0000,0.2389,0.0000,0.1225,0.1801,0.1225,0.2444,0.1927,0.5925,0.1225,0.1036,0.1850,0.5925,0.1775,0.1619,0.0000,0.0800,0.0000,0.1850,0.1775,0.3876,0.1025,0.0800,0.0000,0.4150,0.1775,0.1850,0.0000,0.1025,0.0000,0.3337,0.1850,0.4150,0.0000,0.1850,0.1025,0.1850,0.1420,0.1775,0.0000,0.0800,0.1850,0.1850,0.0000,0.0000,0.0000,0.0800,0.0000,0.0000,0.1025,0.1850,0.1850,0.0800,0.0000,0.1775,0.0000,0.1025,0.0000,0.1850,0.0000,0.0000,0.1850,0.0000,0.1025,0.0800,0.0000,0.1850,0.0000,0.0000,0.0000,0.1025,0.0000,0.0000,0.0000,0.1850,0.0000,0.0800,0.1025,0.0000,0.0000,0.0000,0.0000,0.1850,0.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000,0.1850,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;19,33,2,2,2,2,0,0,0,0,0,;0.1771;33;11;220000;5.50;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0000,0.1144,0.0297,0.1166,0.0000,0.0000,0.2600,0.0000,0.0675,0.0000,0.2775,0.2600,0.1225,0.0000,0.0675,0.0000,0.2178,0.2775,0.0000,0.0000,0.1225,0.0799,0.0000,0.0000,0.0666,0.0000,0.0554,0.0000,0.1225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0275,0.1225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,9,5,0,0,0,0,0,0,0,0,;0.1258;5;2;40000;2.50;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1088,0.0000,0.2055,0.0000,0.1747,0.0000,0.2201,0.0000,0.0000,0.1326,0.0000,0.4203,0.0000,0.2703,0.0000,0.0000,0.3023,0.1908,0.2182,0.0000,0.0000,0.3900,0.0000,0.0000,0.1480,0.1096,0.0000,0.3900,0.0000,0.0950,0.0909,0.0000,0.0000,0.0000,0.0000,0.1964,0.3019,0.0000,0.0000,0.0000,0.0000,0.2347,0.0000,0.2225,0.0000,0.2725,0.2117,0.0000,0.3488,0.0000,0.0000,0.2725,0.0000,0.0000,0.0000,0.0000,0.2050,0.2725,0.0000,0.0891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2169,0.2749,0.0000,0.3735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1239,0.0000,0.0000,0.0000,0.0000,0.5025,0.0000,0.0934,0.0000,0.0000,0.0125,0.0000,0.0000,0.0000,0.0000,0.0125,0.0000,0.2713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0075,0.0000,0.0000,0.0000,0.0000,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;12,10,14,4,2,0,0,0,0,0,0,;0.1965;22;8;160000;7.33;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.2710,0.0000,0.0420,0.2684,0.1053,0.0000,0.0000,0.0000,0.0425,0.1350,0.2847,0.0000,0.2122,0.0000,0.1350,0.0000,0.2925,0.0000,0.2925,0.1350,0.0000,0.6442,0.2925,0.0000,0.1350,0.3812,0.2135,0.0000,0.0000,0.0000,0.0000,0.0000,0.1450,0.4147,0.0000,0.0000,0.0000,0.4417,0.1450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,6,8,2,2,0,1,0,0,0,0,;0.2472;11;2;40000;5.50;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1719,0.0000,0.3772,0.0000,0.0000,0.0000,0.2100,0.0000,0.0000,0.0000,0.0000,0.0027,0.0000,0.0000,0.0000,0.0125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.1541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3350,0.0000,0.0000,0.0000,0.0000,0.0561,0.0000,0.0000,0.3246,0.0000,0.0000,0.0000,0.0850,0.0000,0.0000,0.0000,0.2617,0.0000,0.0000,0.0850,0.0000,0.0000,0.0000,0.0000,0.3230,0.0000,0.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.3322,0.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1075,0.4052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,5,3,10,0,0,0,0,0,0,0,;0.2043;14;1;20000;14.00;
