imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
31ZZN31VRB1J1I6XNAS9X9DBA59QRV.png;0.0374,0.0522,0.0644,0.0394,0.0863,0.0715,0.0780,0.0501,0.0720,0.0781,0.0545,0.0583,0.0216,0.0238,0.0700,0.0604,0.0364,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.1004,0.0000,0.0121,0.0000,0.0752,0.0000,0.0506,0.0000,0.1177,0.0000,0.1350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,;22,3,0,0,0,0,0,0,0,0,0,;0.0613;12;7;477400;4.00;
3203J2GC2PK4HSXGZ2GG107218V84Q.png;0.4077,0.2460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1350,0.0000,0.0743,0.0000,0.0181,0.0000,0.0556,0.0000,0.0000,0.2553,0.0000,0.0000,0.1480,0.0000,0.0000,0.0000,0.0242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,3,2,1,0,0,0,0,0,0,0,;0.1389;4;2;136400;4.00;
3203J2GC2PK4HSXGZ2GG1073Z7V84O.png;0.3640,0.0428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2514,0.3484,0.0972,0.0207,0.2248,0.0534,0.0000,0.0000,0.0000,0.0051,0.0000,0.1344,0.0000,0.0895,0.0000,0.0381,0.0000,0.0000,0.0000,0.0554,0.0000,0.1249,0.0000,0.0000,0.0000,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,2,2,2,0,0,0,0,0,0,0,;0.1224;6;3;204600;3.00;
3203J2GC2PK4HSXGZ2GG1074VAS84P.png;0.3415,0.1718,0.1764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,2,0,1,0,0,0,0,0,0,0,;0.2299;1;1;68200;1.00;
320GLP60AN5TS9K5PU8IGRVPKUZ14P.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1418,0.3523,0.0000,0.0000,0.0000,0.0000,0.0481,0.0000,0.0279,0.2301,0.0508,0.0000,0.0236,0.0000,0.1101,0.0435,0.0045,0.0000,0.4333,0.0000,0.2160,0.3176,0.0968,0.0000,0.0801,0.0000,0.0000,0.1355,0.0000,0.0000,0.1261,0.0000,0.0000,0.3865,0.0000,0.0000,0.1312,0.0000,0.0000,0.0337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,5,2,3,1,0,0,0,0,0,0,;0.1495;6;2;136400;3.00;
320GLP60AN6FM9FGZXIOL5AG38941T.png;0.0822,0.0000,0.1774,0.1469,0.0853,0.1217,0.1207,0.1029,0.1250,0.0012,0.0159,0.0174,0.0088,0.0000,0.0000,0.0000,0.0000,0.2996,0.0000,0.0071,0.2569,0.0123,0.0000,0.0104,0.0000,0.0119,0.2398,0.0059,0.0000,0.3081,0.0000,0.0090,0.0106,0.0685,0.0000,0.0113,0.0000,0.0000,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.2513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;11,5,5,0,0,0,0,0,0,0,0,;0.0899;11;6;409200;3.67;
323KIQYDLQ7S9UIT4NE6QLFONB14CB.png;0.1616,0.2537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,0.1323,0.2094,0.0797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1219,0.0000,0.0803,0.0000,0.0127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0520,0.0000,0.0000,0.1240,0.0000,0.0000,0.0529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0194,0.0000,0.0000,0.0000,0.0216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;7,5,1,0,0,0,0,0,0,0,0,;0.0951;6;2;136400;3.00;
3244QHISJ1ITNE98CFK36E7RG91L0N.png;0.2494,0.0000,0.0192,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2066,0.0000,0.0340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,1,1,0,0,0,0,0,0,0,0,;0.0934;2;1;68200;2.00;
3244QHISK2XKVEPCAXDY38M44I9L04.png;0.1943,0.1439,0.0000,0.0268,0.0077,0.0117,0.0188,0.0000,0.0479,0.0000,0.0459,0.0000,0.0459,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0218,0.0000,0.0000,0.0000,0.0000,0.0218,0.0629,0.0000,0.0000,0.0906,0.0000,0.0000,0.0808,0.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0382,0.0000,0.0000,0.0000,0.0819,0.0000,0.0000,0.0000,0.0866,;18,2,0,0,0,0,0,0,0,0,0,;0.0526;7;2;136400;3.50;
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W.png;0.2094,0.0320,0.0000,0.0000,0.0000,0.0028,0.0006,0.0000,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2642,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,1,1,0,0,0,0,0,0,0,0,;0.0854;2;1;68200;2.00;
32GVUSPLEYOYH9SP841K39EVOUOK3Z.png;0.0948,0.1603,0.0744,0.2072,0.0365,0.1861,0.0000,0.2587,0.0173,0.2428,0.1841,0.1289,0.1313,0.2525,0.1726,0.1273,0.0000,0.0350,0.0000,0.4160,0.0000,0.1259,0.0000,0.2600,0.0000,0.1958,0.0315,0.2896,0.0000,0.0236,0.0000,0.0582,0.0000,0.0000,0.0000,0.2165,0.0000,0.0000,0.0000,0.0000,0.0000,0.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,10,7,0,1,0,0,0,0,0,0,;0.1573;14;12;818400;7.50;
32GVUSPLFZ61Q5EOZV799O813X5K3C.png;0.0202,0.0823,0.0603,0.0705,0.0680,0.0323,0.0400,0.0594,0.0285,0.0440,0.0534,0.0331,0.0351,0.0508,0.0377,0.0351,0.0399,0.0534,0.0000,0.0361,0.0000,0.0432,0.0000,0.0612,0.0000,0.0071,0.0000,0.0653,0.0000,0.0570,0.0000,0.0071,0.0000,0.0618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;24,0,0,0,0,0,0,0,0,0,0,;0.0455;12;8;545600;6.00;
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81.png;0.0527,0.1126,0.0672,0.0000,0.0200,0.0000,0.0557,0.0377,0.0217,0.0000,0.0000,0.0000,0.0213,0.0215,0.0000,0.0200,0.0286,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0006,0.0000,0.0000,0.0000,0.0006,0.0000,0.0881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;12,1,0,0,0,0,0,0,0,0,0,;0.0340;6;5;341000;3.00;
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D.png;0.2774,0.1892,0.3123,0.2013,0.1822,0.1196,0.1949,0.1346,0.1783,0.1428,0.0557,0.2497,0.1393,0.1771,0.1887,0.1705,0.1170,0.2696,0.0000,0.2766,0.2473,0.0000,0.0000,0.2835,0.0000,0.1896,0.1963,0.1876,0.0000,0.0600,0.0000,0.0083,0.0000,0.1309,0.0000,0.1172,0.0000,0.0000,0.0000,0.2057,0.0000,0.1160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0768,0.0000,0.0000,0.0000,0.0000,0.0774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,20,6,1,0,0,0,0,0,0,0,;0.1710;18;17;1159400;9.00;
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM.png;0.4004,0.7959,0.0000,0.1030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.1722,0.0684,0.2557,0.1399,0.3907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2557,0.0000,0.1399,0.0000,0.2803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,3,3,2,0,0,0,1,0,0,0,;0.2570;4;2;136400;2.00;
32WAV7G60PNC75TK9C1M3A29EH0D36.png;0.0389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0620,0.0000,0.0000,0.0835,0.0000,0.2420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,1,1,0,0,0,0,0,0,0,0,;0.1077;2;1;68200;2.00;
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N.png;0.2747,0.1856,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0244,0.1065,0.0961,0.0637,0.0597,0.0729,0.0937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;7,1,1,0,0,0,0,0,0,0,0,;0.0981;3;2;136400;1.50;
