imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.1668,0.3820,0.2994,0.1075,0.0000,0.0000,0.2000,0.3713,0.4054,0.0503,0.0419,0.0891,0.1227,0.0805,0.1455,0.1126,0.0610,0.0645,0.0517,0.0889,0.1404,0.0385,0.0133,0.0069,0.0141,0.0072,0.0072,0.0927,0.0355,0.0911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0273,0.0000,0.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0728,0.0000,0.0953,0.0000,0.0665,0.0000,0.0000,0.0000,0.0000,0.0246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0538,0.0000,0.0000,0.0309,0.0000,0.0000,0.0548,0.0000,0.0000,0.0289,0.0000,0.0000,0.0279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;26,6,1,3,0,0,0,0,0,0,0,;0.0974;11;6;204600;3.67;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.0000,0.0000,0.0000,0.5194,0.1971,0.4448,0.4448,0.2872,0.0000,0.0000,0.0575,0.3639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0509,0.0000,0.4301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0515,0.0000,0.0000,0.4346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,1,1,1,4,1,0,0,0,0,0,;0.2983;6;2;68200;3.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0186,0.4765,0.0000,0.0000,0.0381,0.0107,0.0236,0.0252,0.0091,0.0396,0.0000,0.0618,0.0000,0.0000,0.0677,0.0000,0.0244,0.0526,0.0334,0.0111,0.0000,0.0677,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5600,0.0000,0.1073,0.0000,0.0358,0.0000,0.0000,0.0000,0.2155,0.0000,0.0031,0.0000,0.0000,0.0000,0.4528,0.0534,0.0340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4575,0.0000,0.0000,0.0343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;18,0,1,0,3,1,0,0,0,0,0,;0.1121;5;1;34100;5.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0000,0.1573,0.2447,0.0000,0.1277,0.1470,0.1341,0.1228,0.1647,0.1952,0.1124,0.1056,0.1032,0.0394,0.0000,0.1242,0.1248,0.1171,0.0000,0.0286,0.2355,0.1534,0.1581,0.1353,0.1442,0.2071,0.1321,0.0943,0.0000,0.0000,0.1171,0.1323,0.0390,0.0781,0.0000,0.3300,0.0000,0.0000,0.0000,0.0256,0.0000,0.1183,0.0000,0.1698,0.0000,0.3844,0.0000,0.1784,0.0000,0.2456,0.0000,0.5405,0.0000,0.1626,0.0000,0.0662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0977,0.0000,0.0348,0.0000,0.1100,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126,0.0000,0.0000,0.0973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,0.0000,0.0000,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;15,24,4,2,0,1,0,0,0,0,0,;0.1413;18;5;170500;6.00;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0000,0.0364,0.0455,0.0859,0.0501,0.0331,0.0468,0.0000,0.0598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0170,0.0691,0.0628,0.0554,0.0554,0.1053,0.0573,0.0425,0.0536,0.0554,0.0554,0.0425,0.0628,0.0647,0.0240,0.0000,0.0509,0.0000,0.0000,0.0640,0.0000,0.2909,0.0000,0.1682,0.0000,0.1152,0.0000,0.1610,0.0000,0.2808,0.0000,0.1594,0.0000,0.0654,0.0000,0.1046,0.0000,0.1240,0.0000,0.1707,0.0000,0.1845,0.0000,0.0865,0.0458,0.2027,0.0000,0.1300,0.0000,0.0000,0.0441,0.1964,0.0000,0.0441,0.0000,0.0000,0.0441,0.0000,0.0000,0.0416,0.0000,0.0000,0.1103,0.0000,0.0000,0.0420,0.0000,0.0000,0.0458,0.0000,0.0000,0.0441,0.0000,0.0000,0.0507,0.0000,0.0000,0.0604,0.0000,0.0000,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;38,11,2,0,0,0,0,0,0,0,0,;0.0848;17;8;272800;5.67;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0000,0.0000,0.0000,0.3104,0.5194,0.1832,0.5248,0.4507,0.1065,0.3720,0.0000,0.0000,0.0000,0.2245,0.2304,0.4851,0.0000,0.1125,0.0403,0.4367,0.0000,0.0000,0.1142,0.2055,0.2633,0.0000,0.0311,0.0830,0.3789,0.0963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.6800,0.0000,0.0000,0.0000,0.0000,0.2251,0.0000,0.0000,0.3200,0.0000,0.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0174,0.5900,0.0000,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4188,0.0000,0.0929,0.0000,0.0000,0.1190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1713,0.0000,0.0000,0.0435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,7,4,5,5,3,1,0,0,0,0,;0.2615;15;5;170500;5.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2751,0.2716,0.1687,0.0000,0.0000,0.0000,0.0000,0.0000,0.1911,0.2418,0.4182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0421,0.0000,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0284,0.0776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,2,3,0,1,0,0,0,0,0,0,;0.1722;5;2;68200;2.50;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0000,0.0000,0.2724,0.2530,0.2811,0.2577,0.2782,0.0979,0.0638,0.0610,0.2257,0.2865,0.4525,0.2186,0.0562,0.2572,0.3359,0.2459,0.2408,0.0979,0.0488,0.6100,0.2928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4204,0.0000,0.4169,0.1114,0.0009,0.0000,0.2081,0.0000,1.0000,0.0439,0.0913,0.0000,0.0000,0.0000,0.0000,0.0439,0.0000,0.0000,0.0000,0.0000,0.0000,0.2465,0.0000,0.0000,0.0000,0.0000,0.0000,0.4252,0.0000,0.0000,0.1755,0.0000,0.0665,0.0043,0.1528,0.0000,0.0000,0.0000,0.0000,0.0402,0.0000,0.0000,0.0948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0846,0.0402,0.0000,0.0000,0.0000,0.0948,0.1544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;15,5,13,1,4,1,0,0,0,1,0,;0.2107;20;15;511500;10.00;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.0263,0.0485,0.5078,0.1790,0.2101,0.1006,0.1374,0.0765,0.1085,0.3367,0.0021,0.0000,0.2578,0.2653,0.0000,0.1938,0.0000,0.4117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,3,3,1,2,0,0,0,0,0,0,;0.1908;7;5;170500;3.50;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0893,0.2975,0.0635,0.2975,0.2240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0435,0.0000,0.1210,0.0000,0.1929,0.0000,0.2405,0.0000,0.7260,0.0000,0.1467,0.0000,0.7820,0.0000,0.4684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0443,0.0000,0.0000,0.1377,0.0000,0.0000,0.2550,0.0000,0.0000,0.2067,0.0000,0.0000,0.2970,0.0000,0.0000,0.0865,0.0000,0.0000,0.2786,0.0000,0.0000,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,5,7,0,1,0,0,2,0,0,0,;0.2393;9;2;68200;4.50;
