imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.1645,0.1881,0.0517,0.0329,0.0401,0.0003,0.0000,0.0110,0.0000,0.0093,;4,2,0,0,0,0,0,0,0,0,0,;0.0622;2;2;819600;2.00;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.1191,0.2316,0.0812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,1,1,0,0,0,0,0,0,0,0,;0.1440;1;1;409800;1.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0900,0.1349,0.1035,0.0395,0.0407,0.0138,0.0000,0.0000,0.0000,0.0407,;6,1,0,0,0,0,0,0,0,0,0,;0.0662;3;3;1229400;3.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0941,0.2149,0.0859,0.1321,0.1326,0.0023,0.0000,0.0000,0.0000,0.0091,;2,2,1,0,0,0,0,0,0,0,0,;0.0959;3;3;1229400;3.00;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.1551,0.0630,0.0000,0.1203,0.0928,0.0000,0.0000,0.0186,0.0000,0.0273,;4,2,0,0,0,0,0,0,0,0,0,;0.0795;3;3;1229400;3.00;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.2178,0.2854,0.1820,0.1548,0.1669,0.0348,0.0000,0.0253,0.0000,0.0275,;3,3,2,0,0,0,0,0,0,0,0,;0.1368;5;5;2049000;5.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0035,0.0602,0.0773,0.0107,0.0000,0.0024,0.0000,0.0000,;3,0,0,0,0,0,0,0,0,0,0,;0.0308;2;2;819600;2.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.2209,0.1577,0.2606,0.2508,0.0000,0.0815,0.0000,0.0932,0.0000,0.0225,;3,1,3,0,0,0,0,0,0,0,0,;0.1553;4;4;1639200;4.00;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.2392,0.1981,0.1023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,1,1,0,0,0,0,0,0,0,0,;0.1798;2;2;819600;2.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0580,0.0000,0.0000,0.0000,0.0575,0.0000,0.0000,0.0000,0.0000,0.0533,;3,0,0,0,0,0,0,0,0,0,0,;0.0562;2;1;409800;2.00;
31ZZN31VRB1J1I6XNAS9X9DBA59QRV.png;0.1443,0.0564,0.0560,0.0486,0.0422,0.0014,0.0000,0.0000,0.0000,0.0000,;4,1,0,0,0,0,0,0,0,0,0,;0.0581;1;1;409800;1.00;
3203J2GC2PK4HSXGZ2GG107218V84Q.png;0.1825,0.0282,0.0469,0.0246,0.0249,0.0423,0.0000,0.0006,0.0000,0.0218,;6,1,0,0,0,0,0,0,0,0,0,;0.0465;2;2;819600;2.00;
3203J2GC2PK4HSXGZ2GG1073Z7V84O.png;0.1279,0.0000,0.0000,0.1379,0.0726,0.0000,0.0000,0.0011,0.0000,0.0000,;1,2,0,0,0,0,0,0,0,0,0,;0.0849;2;2;819600;2.00;
3203J2GC2PK4HSXGZ2GG1074VAS84P.png;0.1971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,1,0,0,0,0,0,0,0,0,0,;0.1971;1;1;409800;1.00;
320GLP60AN5TS9K5PU8IGRVPKUZ14P.png;0.0235,0.0754,0.0160,0.0406,0.1502,0.0871,0.0000,0.1004,0.0000,0.1074,;7,1,0,0,0,0,0,0,0,0,0,;0.0751;5;4;1639200;2.50;
320GLP60AN6FM9FGZXIOL5AG38941T.png;0.0918,0.1709,0.1866,0.0107,0.0562,0.1933,0.0000,0.0048,0.0000,0.0430,;4,3,0,0,0,0,0,0,0,0,0,;0.0947;3;3;1229400;3.00;
323KIQYDLQ7S9UIT4NE6QLFONB14CB.png;0.1454,0.0000,0.0016,0.1038,0.0021,0.0000,0.0000,0.0122,0.0000,0.0362,;3,1,0,0,0,0,0,0,0,0,0,;0.0502;2;2;819600;2.00;
3244QHISJ1ITNE98CFK36E7RG91L0N.png;0.1199,0.0102,0.0000,0.0402,0.0000,0.0000,0.0000,0.0402,0.0000,0.0000,;3,1,0,0,0,0,0,0,0,0,0,;0.0526;1;1;409800;1.00;
