imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.0000,0.0000,0.0000,0.0000,0.2732,0.0000,0.2301,0.0000,0.0000,0.2989,0.2007,0.0000,0.1922,0.1717,0.1856,0.0213,0.1565,0.1406,0.1558,0.1047,0.0332,0.0575,0.1383,0.0841,0.1105,0.0287,0.0000,0.0063,0.0000,0.0228,0.0000,0.0080,0.0000,0.0350,0.0000,0.0318,0.0000,0.0375,0.0000,0.0813,0.0000,0.0105,0.0000,0.0525,0.0301,0.0318,0.0000,0.0213,0.0000,0.0319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;19,9,3,0,0,0,0,0,0,0,0,;0.0955;13;4;160000;3.25;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.0000,0.0000,0.0000,0.3438,0.0000,0.3438,0.0000,0.0000,0.1098,0.2011,0.0000,0.0873,0.1638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1638,0.0000,0.0000,0.0000,0.0824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,3,0,2,0,0,0,0,0,0,0,;0.1869;3;1;40000;3.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.2088,0.0000,0.0000,0.0000,0.0000,0.0000,0.2050,0.2004,0.0000,0.0000,0.1025,0.0000,0.1025,0.0000,0.2146,0.1013,0.0000,0.0000,0.0000,0.1812,0.1882,0.0000,0.0000,0.1025,0.0000,0.0000,0.1025,0.0000,0.0000,0.0000,0.0000,0.0000,0.1025,0.0237,0.0000,0.1025,0.0000,0.1075,0.1025,0.0000,0.0000,0.1075,0.0000,0.0000,0.0000,0.1075,0.0000,0.0000,0.0000,0.1075,0.0000,0.0000,0.0000,0.1075,0.0000,0.0000,0.0000,0.1075,0.0000,0.0000,0.0000,0.1075,0.0000,0.0000,0.0000,0.0580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;18,5,1,0,0,0,0,0,0,0,0,;0.1230;6;2;80000;3.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0000,0.0000,0.0000,0.0000,0.2524,0.0000,0.2619,0.0000,0.0000,0.1635,0.1470,0.0000,0.0550,0.2879,0.2142,0.0000,0.0000,0.3468,0.0000,0.1505,0.3050,0.1237,0.0437,0.3025,0.0000,0.0683,0.2512,0.3082,0.0000,0.1966,0.0000,0.2480,0.1399,0.0000,0.0000,0.2355,0.0000,0.0000,0.0578,0.1401,0.0000,0.0413,0.0000,0.1149,0.0099,0.0000,0.0000,0.0875,0.0000,0.0000,0.0000,0.0683,0.0000,0.0000,0.0000,0.0437,0.0000,0.0000,0.0000,0.0437,0.0000,0.0000,0.0000,0.0341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;10,8,10,1,0,0,0,0,0,0,0,;0.1581;13;2;80000;6.50;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2251,0.0000,0.0000,0.0000,0.2366,0.0000,0.2175,0.0500,0.0000,0.0000,0.1419,0.1100,0.1048,0.0000,0.2459,0.0500,0.0000,0.1293,0.0000,0.0450,0.2353,0.2938,0.0000,0.1845,0.0000,0.2955,0.1208,0.2007,0.0000,0.2515,0.0000,0.0971,0.0233,0.1579,0.0000,0.0000,0.0000,0.0922,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0104,0.0224,0.0000,0.1382,0.0000,0.0213,0.0420,0.0000,0.0000,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,0.0000,0.0000,0.0000,0.2363,0.0000,0.0000,0.0000,0.0935,0.0000,0.0000,0.0000,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;14,8,9,0,0,0,0,0,0,0,0,;0.1260;15;2;80000;7.50;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0000,0.0000,0.0000,0.0000,0.4171,0.0000,0.3575,0.0000,0.2095,0.2750,0.3575,0.1482,0.3575,0.2662,0.1325,0.1734,0.2551,0.1325,0.2687,0.1437,0.1325,0.2556,0.2687,0.1437,0.0252,0.1775,0.1325,0.1437,0.0000,0.1325,0.0000,0.1437,0.1325,0.1598,0.0000,0.1437,0.0000,0.0000,0.1325,0.1437,0.0000,0.1325,0.0000,0.1437,0.1325,0.0000,0.0000,0.1437,0.0000,0.0000,0.0000,0.1437,0.0000,0.0000,0.0000,0.1437,0.0000,0.0000,0.0000,0.1437,0.0000,0.0000,0.0000,0.0891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,25,6,3,1,0,0,0,0,0,0,;0.1847;11;3;120000;3.67;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0721,0.0583,0.0000,0.1638,0.0000,0.2000,0.1638,0.0000,0.0000,0.2000,0.0000,0.0000,0.0677,0.0945,0.0000,0.0000,0.0000,0.0612,0.0000,0.0000,0.0000,0.0612,0.0000,0.0000,0.0000,0.0612,0.0000,0.0000,0.0000,0.0551,0.0138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;11,4,0,0,0,0,0,0,0,0,0,;0.0892;5;2;80000;2.50;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0000,0.0000,0.0000,0.0000,0.2600,0.0000,0.2813,0.0000,0.1764,0.3215,0.2379,0.0000,0.1827,0.3051,0.3462,0.0000,0.0548,0.3587,0.0475,0.0000,0.3775,0.1722,0.0000,0.0000,0.0000,0.1567,0.2872,0.0000,0.0000,0.2536,0.0000,0.0000,0.2421,0.0446,0.0000,0.0000,0.0000,0.3119,0.2893,0.0000,0.0000,0.3099,0.0000,0.0000,0.3597,0.0467,0.0000,0.0000,0.0000,0.0000,0.1976,0.0000,0.0000,0.0314,0.0000,0.0000,0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,0.0000,0.0000,0.0037,0.0000,0.0000,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0294,0.0000,0.0000,0.0000,0.0587,0.0000,0.0000,0.0000,0.0270,0.0000,0.0000,0.0000,0.0529,0.0000,0.0000,0.0000,0.0587,0.0000,0.0000,0.0000,0.0035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;10,5,9,6,0,0,0,0,0,0,0,;0.1687;19;9;360000;4.75;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.1355,0.1552,0.0527,0.0000,0.1289,0.0675,0.3530,0.0000,0.0675,0.0614,0.4644,0.0000,0.2967,0.2473,0.0675,0.0000,0.3536,0.0284,0.3671,0.0000,0.0000,0.0725,0.3511,0.0000,0.3512,0.0725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,3,2,5,1,0,0,0,0,0,0,;0.1944;8;2;80000;4.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0873,0.0000,0.1949,0.0000,0.0000,0.0000,0.1084,0.0000,0.0000,0.0770,0.0000,0.0000,0.0000,0.1695,0.0000,0.0000,0.0000,0.1675,0.0000,0.0000,0.0000,0.1675,0.0000,0.0000,0.0000,0.1675,0.0000,0.0000,0.0000,0.1623,0.0000,0.0000,0.0000,0.1589,0.0000,0.0000,0.0000,0.2040,0.0000,0.0000,0.0000,0.2086,0.0000,0.0000,0.0000,0.2429,0.0000,0.0000,0.0000,0.2451,0.0000,0.0000,0.0000,0.1899,0.0000,0.0000,0.0000,0.1785,0.0000,0.0000,0.0000,0.0840,0.0000,0.0000,0.0000,0.0636,0.0000,0.0000,0.0000,0.0262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,11,2,0,0,0,0,0,0,0,0,;0.1528;13;3;120000;4.33;
