imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.0833,0.4548,0.3401,0.1088,0.0000,0.0000,0.1624,0.4365,0.3652,0.0251,0.0209,0.1184,0.0613,0.0402,0.0806,0.0654,0.0305,0.0322,0.0258,0.0444,0.0837,0.0334,0.0067,0.0034,0.0070,0.0036,0.0400,0.0939,0.0509,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0123,0.0000,0.0115,0.0000,0.0269,0.0000,0.0154,0.0000,0.0274,0.0000,0.0144,0.0000,0.0139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;25,2,0,2,2,0,0,0,0,0,0,;0.0853;8;4;273200;2.67;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.0000,0.0000,0.0000,0.4646,0.2501,0.5070,0.4713,0.3487,0.0000,0.0000,0.0627,0.4874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0256,0.2159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0256,0.0000,0.2159,;3,0,3,1,4,0,0,0,0,0,0,;0.2795;5;4;273200;2.50;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0116,0.2988,0.0000,0.0000,0.1552,0.0746,0.0685,0.1041,0.0376,0.1629,0.0000,0.4364,0.0000,0.0000,0.1722,0.0000,0.1424,0.3066,0.0703,0.0234,0.0000,0.1414,0.0020,0.0000,0.2272,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2272,0.0000,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;10,5,4,0,1,0,0,0,0,0,0,;0.1311;10;3;204900;3.33;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0000,0.1797,0.1975,0.0000,0.1140,0.0734,0.1970,0.2317,0.2153,0.3285,0.2032,0.1140,0.0825,0.0197,0.0000,0.1106,0.0789,0.2237,0.0000,0.0271,0.1766,0.1613,0.2708,0.1566,0.1947,0.3737,0.1472,0.0801,0.0000,0.0000,0.1073,0.0834,0.0746,0.1491,0.0000,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,0.0000,0.0481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0050,0.0000,0.0100,0.0000,0.0000,;11,13,4,2,0,0,0,0,0,0,0,;0.1350;16;7;478100;4.00;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0000,0.1401,0.0824,0.3214,0.2569,0.1297,0.1701,0.0000,0.2079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0405,0.1797,0.1153,0.0852,0.1081,0.1928,0.1082,0.0539,0.0790,0.0896,0.1129,0.1133,0.0745,0.1337,0.0771,0.0000,0.1235,0.0000,0.0000,0.0000,0.0000,0.0227,0.0000,0.0229,0.0000,0.0220,0.0000,0.0220,0.0000,0.0220,0.0000,0.0220,0.0000,0.0208,0.0000,0.0551,0.0000,0.0210,0.0000,0.0229,0.0000,0.0220,0.0000,0.0253,0.0000,0.0299,0.0000,0.0074,0.0000,0.0000,0.0000,0.0000,;23,11,1,1,0,0,0,0,0,0,0,;0.0901;15;6;409800;3.75;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0000,0.0000,0.0000,0.4003,0.6699,0.2367,0.6977,0.4203,0.1132,0.4812,0.0000,0.0000,0.0000,0.2773,0.3053,0.4532,0.0000,0.0561,0.0501,0.5585,0.0000,0.0000,0.0570,0.2628,0.3368,0.0000,0.0155,0.0415,0.4846,0.1232,0.0000,0.0000,0.0000,0.0000,0.2102,0.0000,0.0000,0.0086,0.0000,0.0976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0459,0.0000,0.0588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0847,0.0000,0.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2102,;10,2,6,2,4,1,2,0,0,0,0,;0.2421;12;5;341500;3.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0210,0.1412,0.1356,0.0842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0954,0.1207,0.2475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0639,0.0000,0.0142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,3,1,0,0,0,0,0,0,0,0,;0.1026;4;2;136600;4.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0000,0.0000,0.3295,0.3308,0.3363,0.3289,0.2635,0.0489,0.0319,0.0556,0.2059,0.3403,0.5202,0.1396,0.0280,0.2891,0.2533,0.3332,0.3289,0.0494,0.1297,0.8053,0.1918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0881,0.0332,0.0767,0.0330,0.0000,0.1225,0.0000,0.0127,0.0000,0.2108,0.0000,0.2108,0.0000,0.0021,0.0000,0.0000,0.0000,0.0402,0.0000,0.0947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000,0.0767,;14,5,5,7,0,1,0,1,0,0,0,;0.1877;16;9;614700;5.33;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.0131,0.0242,0.5734,0.2496,0.3045,0.2704,0.3122,0.3212,0.0903,0.4593,0.0052,0.0000,0.1788,0.1325,0.0000,0.0967,0.0000,0.2056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,3,3,2,1,1,0,0,0,0,0,;0.2158;7;7;478100;7.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0489,0.0914,0.0525,0.1444,0.0105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0219,0.0608,0.0970,0.1653,0.5119,0.1051,0.5401,0.3462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0220,0.0000,0.0684,0.0000,0.1266,0.0000,0.1025,0.0000,0.1474,0.0000,0.0430,0.0000,0.1380,0.0000,0.0128,0.0000,0.0000,;13,5,0,1,0,2,0,0,0,0,0,;0.1360;7;4;273200;3.50;
