imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.1593,0.1930,0.0978,0.0566,0.0413,0.0057,0.0000,0.0093,0.0000,0.0391,0.0000,0.0221,0.0000,0.0000,0.0186,0.0000,0.0000,0.0000,0.0000,0.0000,;6,2,0,0,0,0,0,0,0,0,0,;0.0643;3;3;613800;3.00;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.1194,0.2057,0.0606,0.0000,0.0000,0.1021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,2,0,0,0,0,0,0,0,0,0,;0.1220;1;1;204600;1.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0906,0.0266,0.0241,0.0189,0.0000,0.1829,0.0000,0.0603,0.0281,0.0811,0.0000,0.0000,0.0000,0.0000,0.0820,0.0000,0.0000,0.0000,0.0000,0.0000,;8,1,0,0,0,0,0,0,0,0,0,;0.0661;4;4;818400;4.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.1128,0.1391,0.0848,0.1185,0.0963,0.0871,0.0000,0.1461,0.0048,0.1691,0.0000,0.0000,0.0000,0.0000,0.0183,0.0000,0.0000,0.0000,0.0000,0.0000,;4,5,0,0,0,0,0,0,0,0,0,;0.0977;5;2;409200;2.50;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0418,0.0178,0.0000,0.0608,0.0511,0.0000,0.0000,0.1800,0.0000,0.1348,0.0000,0.0373,0.0000,0.0000,0.0547,0.0000,0.0000,0.0000,0.0000,0.0000,;6,2,0,0,0,0,0,0,0,0,0,;0.0723;2;1;204600;2.00;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.1688,0.2423,0.1754,0.1328,0.1421,0.1888,0.0000,0.1767,0.0701,0.1917,0.0000,0.0513,0.0000,0.0000,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,;3,7,1,0,0,0,0,0,0,0,0,;0.1451;6;6;1227600;6.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.1192,0.1418,0.0070,0.0000,0.0013,0.0213,0.0129,0.0000,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,2,0,0,0,0,0,0,0,0,0,;0.0441;2;1;204600;2.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.1774,0.1689,0.2610,0.2150,0.0000,0.2603,0.0000,0.2862,0.1276,0.0000,0.0000,0.1878,0.0000,0.0000,0.0225,0.0000,0.0000,0.0000,0.0000,0.0225,;2,4,4,0,0,0,0,0,0,0,0,;0.1729;6;6;1227600;6.00;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.1787,0.1102,0.1881,0.0000,0.0000,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,3,0,0,0,0,0,0,0,0,0,;0.1234;2;1;204600;2.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0149,0.0000,0.0000,0.0000,0.0000,0.0997,0.0000,0.0000,0.0000,0.0000,0.1073,0.0000,0.0000,0.0000,0.0000,0.0000,;3,0,0,0,0,0,0,0,0,0,0,;0.0739;2;2;409200;2.00;
31ZZN31VRB1J1I6XNAS9X9DBA59QRV.png;0.0513,0.0657,0.0667,0.0636,0.0385,0.0452,0.0000,0.0337,0.0030,0.0460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,0,0,0,0,0,0,0,0,0,0,;0.0460;4;4;818400;4.00;
