imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.1982,0.0971,0.0325,0.0301,0.0000,0.0083,0.0000,0.0070,;3,1,0,0,0,0,0,0,0,0,0,;0.0622;2;2;1092800;2.00;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.2116,0.1123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,1,1,0,0,0,0,0,0,0,0,;0.1620;1;1;546400;1.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0891,0.1011,0.0858,0.0305,0.0000,0.0104,0.0000,0.0305,;6,0,0,0,0,0,0,0,0,0,0,;0.0579;3;3;1639200;3.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.1242,0.1342,0.1369,0.1233,0.0000,0.0018,0.0000,0.0068,;0,4,0,0,0,0,0,0,0,0,0,;0.0878;4;4;2185600;4.00;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.1376,0.0260,0.0902,0.0956,0.0000,0.0140,0.0000,0.0274,;5,1,0,0,0,0,0,0,0,0,0,;0.0651;3;3;1639200;3.00;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.3031,0.2038,0.1231,0.1252,0.0000,0.0190,0.0000,0.0206,;2,3,1,0,0,0,0,0,0,0,0,;0.1325;2;2;1092800;2.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0478,0.0580,0.0000,0.0098,0.0000,0.0000,;2,0,0,0,0,0,0,0,0,0,0,;0.0385;2;2;1092800;2.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.2047,0.2013,0.2614,0.0000,0.0000,0.0779,0.0000,0.0169,;2,2,1,0,0,0,0,0,0,0,0,;0.1525;3;3;1639200;3.00;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.2586,0.1204,0.0257,0.0000,0.0000,0.0000,0.0000,0.0000,;1,1,1,0,0,0,0,0,0,0,0,;0.1349;1;1;546400;1.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0435,0.0000,0.0000,0.1202,0.0000,0.0000,0.0000,0.0637,;2,1,0,0,0,0,0,0,0,0,0,;0.0758;1;1;546400;1.00;
31ZZN31VRB1J1I6XNAS9X9DBA59QRV.png;0.1152,0.0683,0.0454,0.0539,0.0000,0.0000,0.0000,0.0000,;3,1,0,0,0,0,0,0,0,0,0,;0.0707;1;1;546400;1.00;
3203J2GC2PK4HSXGZ2GG107218V84Q.png;0.1488,0.0274,0.0355,0.0187,0.0000,0.0322,0.0000,0.0163,;5,1,0,0,0,0,0,0,0,0,0,;0.0465;1;1;546400;1.00;
3203J2GC2PK4HSXGZ2GG1073Z7V84O.png;0.0959,0.0000,0.1034,0.0768,0.0000,0.0008,0.0000,0.0127,;4,0,0,0,0,0,0,0,0,0,0,;0.0579;3;3;1639200;3.00;
3203J2GC2PK4HSXGZ2GG1074VAS84P.png;0.1479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,1,0,0,0,0,0,0,0,0,0,;0.1479;1;1;546400;1.00;
320GLP60AN5TS9K5PU8IGRVPKUZ14P.png;0.0480,0.0321,0.0365,0.1398,0.0000,0.0807,0.0000,0.0968,;5,1,0,0,0,0,0,0,0,0,0,;0.0723;3;3;1639200;3.00;
