imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1737,0.0000,0.0000,0.0000,0.1663,0.0000,0.1726,0.2555,0.0000,0.0388,0.1312,0.2319,0.1240,0.0284,0.1157,0.1780,0.0943,0.1536,0.1396,0.1220,0.0208,0.0352,0.0000,0.1122,0.0000,0.0224,0.0000,0.1242,0.0084,0.0000,0.0000,0.1338,0.0000,0.0107,0.0000,0.0000,0.0000,0.0000,0.0423,0.1283,0.0000,0.0000,0.0000,0.1084,0.0000,0.0000,0.0000,0.0000,0.0700,0.0140,0.0000,0.0000,0.0000,0.0284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;13,15,2,0,0,0,0,0,0,0,0,;0.1004;18;6;180000;4.50;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1950,0.0000,0.0720,0.0000,0.0911,0.0000,0.0432,0.3617,0.0000,0.0000,0.0000,0.1200,0.0000,0.0000,0.1200,0.2753,0.0000,0.0000,0.0000,0.1087,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,5,1,1,0,0,0,0,0,0,0,;0.1418;3;1;30000;3.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2080,0.0000,0.0000,0.0000,0.0000,0.0000,0.1367,0.2396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2101,0.1350,0.0000,0.0000,0.0000,0.3783,0.2533,0.1741,0.0000,0.0000,0.0000,0.2517,0.1367,0.1367,0.0000,0.1142,0.0000,0.1367,0.1367,0.0000,0.0000,0.1367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0315,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.0774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,17,4,1,0,0,0,0,0,0,0,;0.1624;7;2;60000;3.50;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2233,0.0000,0.0000,0.0000,0.0638,0.0000,0.0000,0.4113,0.0000,0.0000,0.0000,0.2384,0.0000,0.0000,0.2200,0.2970,0.0583,0.3527,0.1327,0.1643,0.1222,0.2850,0.0000,0.2900,0.0000,0.2331,0.0550,0.0000,0.2857,0.2800,0.0000,0.0000,0.0550,0.2492,0.0000,0.0550,0.0000,0.1315,0.2678,0.0000,0.0000,0.0733,0.0000,0.1868,0.0000,0.0220,0.0000,0.0000,0.1532,0.0000,0.0000,0.0000,0.0000,0.1167,0.0000,0.0000,0.0000,0.0000,0.0910,0.0000,0.0000,0.0000,0.0000,0.0583,0.0000,0.0000,0.0000,0.0000,0.0583,0.0000,0.0000,0.0000,0.0000,0.0455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;11,7,11,1,1,0,0,0,0,0,0,;0.1702;14;4;120000;3.50;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2517,0.0000,0.0000,0.0000,0.2671,0.0000,0.2400,0.1150,0.0000,0.0000,0.1391,0.0000,0.1157,0.0000,0.0000,0.1150,0.0000,0.1467,0.0000,0.1100,0.0000,0.3278,0.0000,0.1217,0.0000,0.3313,0.0000,0.3175,0.2767,0.3137,0.0000,0.1535,0.0000,0.2790,0.0000,0.0000,0.0000,0.1610,0.2737,0.0000,0.0000,0.0851,0.0000,0.1822,0.0000,0.0310,0.0000,0.0000,0.0946,0.0000,0.0000,0.0000,0.0000,0.0383,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0000,0.0139,0.0000,0.0000,0.0000,0.1843,0.0000,0.0000,0.0000,0.0560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0217,0.0000,0.0000,0.0000,0.0000,0.2409,0.0000,0.0000,0.0000,0.0000,0.1007,0.0000,0.0000,0.0000,0.0000,0.0094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,11,7,4,0,0,0,0,0,0,0,;0.1599;14;4;120000;3.50;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2667,0.0000,0.2634,0.0000,0.2667,0.1905,0.2667,0.3283,0.1975,0.2169,0.1483,0.2367,0.1483,0.2313,0.2367,0.3283,0.1483,0.1767,0.1917,0.3283,0.2367,0.1767,0.0000,0.1917,0.0000,0.1767,0.2225,0.2864,0.1917,0.1767,0.0000,0.2100,0.1183,0.1917,0.0000,0.1183,0.0000,0.1767,0.1917,0.2100,0.0000,0.1767,0.0000,0.1917,0.1183,0.1767,0.0000,0.0805,0.1917,0.1767,0.0000,0.0000,0.0000,0.1917,0.0000,0.0000,0.0000,0.1095,0.1917,0.0000,0.0000,0.0000,0.0000,0.1917,0.0000,0.0000,0.0000,0.0000,0.1917,0.0000,0.0000,0.0000,0.0000,0.1188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,30,11,3,0,0,0,0,0,0,0,;0.1990;16;5;150000;4.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0961,0.0777,0.0000,0.0000,0.2183,0.0000,0.2667,0.0000,0.2183,0.0000,0.0000,0.2667,0.1902,0.0000,0.0000,0.0000,0.1261,0.0000,0.0000,0.0000,0.0000,0.0817,0.0000,0.0000,0.0000,0.0000,0.0817,0.0000,0.0000,0.0143,0.0000,0.0817,0.0000,0.0000,0.0000,0.0000,0.0735,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0047,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167,0.0000,0.0000,0.0000,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,2,4,0,0,0,0,0,0,0,0,;0.1030;6;2;60000;3.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2967,0.0000,0.1751,0.0000,0.2828,0.1600,0.2436,0.2350,0.0000,0.3922,0.0731,0.4248,0.0633,0.0000,0.4152,0.1332,0.0000,0.3187,0.0000,0.0606,0.3122,0.3383,0.0000,0.0000,0.0000,0.3290,0.1937,0.0000,0.0000,0.2473,0.0000,0.2326,0.2250,0.0000,0.0000,0.1949,0.0000,0.2600,0.0000,0.0000,0.0000,0.2905,0.0000,0.0000,0.0643,0.3090,0.0000,0.1673,0.0000,0.3416,0.1916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0771,0.4210,0.0000,0.0670,0.0000,0.2586,0.0696,0.0000,0.0000,0.0376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0392,0.0000,0.0000,0.0000,0.0000,0.0783,0.0000,0.0000,0.0000,0.0000,0.0360,0.0000,0.0000,0.0000,0.0000,0.0705,0.0000,0.0000,0.0000,0.0000,0.0783,0.0000,0.0000,0.0000,0.0000,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;13,7,11,6,3,0,0,0,0,0,0,;0.2002;20;8;240000;5.25;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.1806,0.0280,0.2491,0.0000,0.0000,0.2950,0.3049,0.0000,0.2445,0.0000,0.3564,0.0000,0.2854,0.3988,0.0000,0.0000,0.3429,0.1345,0.3473,0.0000,0.0967,0.3595,0.3850,0.0000,0.0000,0.2069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1286,0.0000,0.0000,0.0000,0.1422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,5,5,6,0,0,0,0,0,0,0,;0.2405;11;2;60000;5.50;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1164,0.0000,0.2598,0.0000,0.0000,0.0000,0.1445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0199,0.0000,0.0000,0.0000,0.0000,0.0460,0.0000,0.0000,0.0000,0.0000,0.0433,0.0000,0.0000,0.0000,0.0000,0.0433,0.0000,0.0000,0.0000,0.0000,0.0433,0.0000,0.0000,0.0000,0.0000,0.0399,0.0000,0.0000,0.0000,0.0000,0.0934,0.0000,0.0000,0.0000,0.0000,0.1561,0.0000,0.0000,0.0000,0.0000,0.1631,0.0000,0.0000,0.0000,0.0000,0.2089,0.0000,0.0000,0.0000,0.0000,0.2030,0.0000,0.0000,0.0000,0.0000,0.1648,0.0000,0.0000,0.0000,0.0000,0.1800,0.0000,0.0000,0.0000,0.0000,0.0627,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;10,8,1,0,0,0,0,0,0,0,0,;0.1070;9;1;30000;9.00;
