imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
31ZZN31VRB1J1I6XNAS9X9DBA59QRV.png;0.0888,0.1253,0.1056,0.0365,0.0960,0.0536,0.0590,0.0713,0.0540,0.0591,0.0409,0.0807,0.0253,0.0516,0.0904,0.1081,0.0611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0382,0.0000,0.0000,0.0000,0.0225,0.0000,0.0000,0.0000,0.0254,0.0000,0.1350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0439,;20,2,0,0,0,0,0,0,0,0,0,;0.0669;9;7;637000;4.50;
3203J2GC2PK4HSXGZ2GG107218V84Q.png;0.4095,0.1844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2758,0.0000,0.0585,0.0000,0.0136,0.0000,0.0417,0.0000,0.0000,0.0167,0.0000,0.0000,0.2100,0.0000,0.0000,0.0000,0.0413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,2,1,1,0,0,0,0,0,0,0,;0.1391;4;2;182000;2.00;
3203J2GC2PK4HSXGZ2GG1073Z7V84O.png;0.3467,0.0321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2874,0.2895,0.0728,0.0155,0.2052,0.0554,0.0000,0.0000,0.0000,0.0038,0.0000,0.0017,0.0000,0.0436,0.0000,0.0286,0.0000,0.0000,0.0000,0.0048,0.0000,0.1551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,2,2,1,0,0,0,0,0,0,0,;0.1102;5;3;273000;2.50;
3203J2GC2PK4HSXGZ2GG1074VAS84P.png;0.3464,0.1437,0.1786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,2,0,1,0,0,0,0,0,0,0,;0.2229;1;1;91000;1.00;
320GLP60AN5TS9K5PU8IGRVPKUZ14P.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0017,0.0029,0.0019,0.0000,0.1084,0.2935,0.0000,0.0023,0.0000,0.0102,0.0657,0.0000,0.0362,0.0994,0.0794,0.0000,0.0367,0.0000,0.0746,0.0000,0.0533,0.0000,0.5858,0.0000,0.2602,0.1967,0.0876,0.0000,0.0389,0.0000,0.0000,0.0800,0.0000,0.0000,0.0446,0.0000,0.0000,0.0263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;14,1,2,0,0,1,0,0,0,0,0,;0.0951;6;3;273000;3.00;
320GLP60AN6FM9FGZXIOL5AG38941T.png;0.0953,0.0021,0.1739,0.1693,0.0958,0.1467,0.1318,0.1282,0.1629,0.0009,0.0119,0.0130,0.0085,0.0000,0.0000,0.0000,0.0000,0.2747,0.0000,0.0094,0.2809,0.0093,0.0000,0.0078,0.0000,0.0129,0.1854,0.0044,0.0000,0.4193,0.0000,0.0068,0.0079,0.0513,0.0000,0.0085,0.0000,0.0000,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,7,2,0,1,0,0,0,0,0,0,;0.0896;12;8;728000;6.00;
323KIQYDLQ7S9UIT4NE6QLFONB14CB.png;0.1848,0.3164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,0.0992,0.1896,0.0949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0586,0.0000,0.0303,0.0000,0.0235,0.0000,0.0042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0498,0.0000,0.0000,0.0935,0.0000,0.0000,0.0516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,2,0,1,0,0,0,0,0,0,0,;0.0926;6;3;273000;2.00;
3244QHISJ1ITNE98CFK36E7RG91L0N.png;0.2172,0.0000,0.1171,0.0457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3113,0.0000,0.0512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,1,1,1,0,0,0,0,0,0,0,;0.1485;2;1;91000;2.00;
3244QHISK2XKVEPCAXDY38M44I9L04.png;0.2049,0.1404,0.0554,0.0201,0.0057,0.0088,0.0552,0.0000,0.0359,0.0000,0.0344,0.0000,0.0344,0.0000,0.0000,0.0000,0.0000,0.0157,0.0000,0.0000,0.0097,0.0163,0.0000,0.0000,0.0000,0.0163,0.0157,0.0000,0.0000,0.0062,0.0000,0.0069,0.0163,0.0127,0.0000,0.0000,0.0000,0.0000,0.0163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0696,0.0000,0.0000,0.1223,0.0000,0.0000,0.1127,;14,4,0,0,0,0,0,0,0,0,0,;0.0449;7;3;273000;3.50;
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W.png;0.2541,0.0389,0.0737,0.0166,0.0331,0.0823,0.0454,0.0556,0.0990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,0,1,0,0,0,0,0,0,0,0,;0.0800;4;2;182000;2.00;
32GVUSPLEYOYH9SP841K39EVOUOK3Z.png;0.1237,0.2408,0.1195,0.2074,0.0429,0.2046,0.0000,0.2495,0.0218,0.3048,0.2056,0.1617,0.1648,0.2741,0.1470,0.1391,0.0000,0.0350,0.0000,0.3067,0.0000,0.0267,0.0000,0.2600,0.0000,0.0804,0.0061,0.2650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0320,0.0000,0.0000,0.0000,0.0000,0.0000,0.1072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;7,9,7,0,0,0,0,0,0,0,0,;0.1553;12;9;819000;4.00;
32GVUSPLFZ61Q5EOZV799O813X5K3C.png;0.0462,0.1868,0.1713,0.1027,0.0865,0.0455,0.0431,0.0701,0.0406,0.0499,0.0589,0.0468,0.0316,0.0627,0.0483,0.0316,0.0508,0.0208,0.0000,0.0101,0.0000,0.0135,0.0000,0.0239,0.0000,0.0000,0.0000,0.0243,0.0000,0.0226,0.0000,0.0000,0.0000,0.0254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;22,2,0,0,0,0,0,0,0,0,0,;0.0548;7;7;637000;7.00;
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81.png;0.0552,0.1255,0.0528,0.0000,0.0154,0.0000,0.0417,0.0283,0.0167,0.0000,0.0000,0.0000,0.0164,0.0165,0.0000,0.0154,0.0404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;11,1,0,0,0,0,0,0,0,0,0,;0.0411;5;3;273000;2.50;
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D.png;0.3146,0.1902,0.3602,0.1912,0.1718,0.1161,0.2396,0.1310,0.1972,0.1744,0.0418,0.2754,0.1681,0.1894,0.1749,0.1340,0.1191,0.2476,0.0000,0.2514,0.1315,0.0000,0.0000,0.2120,0.0000,0.0783,0.1216,0.1424,0.0000,0.0116,0.0000,0.0000,0.0000,0.1239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,;4,16,5,2,0,0,0,0,0,0,0,;0.1641;15;15;1365000;15.00;
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM.png;0.4028,0.7313,0.0000,0.0772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0615,0.1291,0.0513,0.2580,0.1412,0.3943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1252,0.0000,0.0685,0.0000,0.1086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,3,1,2,0,0,0,1,0,0,0,;0.2124;4;2;182000;2.00;
32WAV7G60PNC75TK9C1M3A29EH0D36.png;0.0943,0.0202,0.0276,0.0400,0.0303,0.0254,0.0060,0.0000,0.0000,0.0000,0.0000,0.0453,0.0279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0173,0.0000,0.2375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,0,1,0,0,0,0,0,0,0,0,;0.0520;2;1;91000;2.00;
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N.png;0.2059,0.1391,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,0.0798,0.0720,0.0477,0.0448,0.0546,0.0702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;7,2,0,0,0,0,0,0,0,0,0,;0.0735;3;2;182000;1.50;
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM.png;0.0943,0.0157,0.0071,0.0155,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,0,0,0,0,0,0,0,0,0,0,;0.0287;1;1;91000;1.00;
330XZFCZ7RB627L6HWI9543W690TXG.png;0.2038,0.4471,0.1459,0.0803,0.2903,0.1917,0.2290,0.1954,0.2779,0.5591,0.2666,0.2461,0.1518,0.1940,0.2422,0.2667,0.0719,0.0879,0.0000,0.1613,0.0957,0.0735,0.0000,0.0415,0.0000,0.0465,0.0000,0.0005,0.0000,0.0011,0.0000,0.0835,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,7,7,0,1,1,0,0,0,0,0,;0.1789;13;13;1183000;13.00;
33EWWXEH81XUPFZ4BLANE2SZQMJ40X.png;0.0943,0.0157,0.0221,0.0088,0.0225,0.0230,0.0225,0.0225,0.0175,0.0132,0.0129,0.0191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0280,0.0000,0.0297,0.0000,0.0293,0.0000,0.0880,0.0000,0.0819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;16,0,0,0,0,0,0,0,0,0,0,;0.0324;3;2;182000;1.50;
33FLRCV01N0NF725EJLGLLU8UGYORG.png;0.0907,0.0179,0.0342,0.0203,0.0447,0.0380,0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,1,0,0,0,0,0,0,0,0,0,;0.0516;2;1;91000;2.00;
33QM7VBL79CAH7ME53S2DMVHTOZ3QX.png;0.3367,0.5071,0.2264,0.2213,0.1082,0.2073,0.2053,0.2363,0.2064,0.1863,0.2098,0.1417,0.1477,0.1442,0.1764,0.1312,0.1166,0.1574,0.0000,0.1033,0.0579,0.1256,0.0000,0.0603,0.0000,0.1248,0.0691,0.1220,0.0000,0.1263,0.0000,0.0402,0.0000,0.0109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0405,0.0000,0.0000,0.0802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,16,3,1,1,0,0,0,0,0,0,;0.1542;12;12;1092000;12.00;
