imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
3568B45QGKRG3Y1LZDHA1JA6BSCO3E.png;0.4885,0.2418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0402,0.0338,0.1878,0.0790,0.0665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,1,1,0,1,0,0,0,0,0,0,;0.1625;3;2;182000;1.50;
3589VT1T2BGMXIVHZGNGS492OQIJN8.png;0.5655,0.3505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0249,0.0000,0.0919,0.0591,0.0401,0.0861,0.0438,0.2408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1113,0.0000,0.2257,0.0000,0.3411,0.0000,0.0322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;7,1,2,2,0,1,0,0,0,0,0,;0.1702;5;2;182000;2.50;
35DAEVU8JHJ10FFZ10EN4CRDQ8F870.png;0.1887,0.0335,0.1617,0.0508,0.0000,0.3010,0.0000,0.0000,0.1303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0648,0.0000,0.3850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1328,0.0000,0.0000,0.2295,0.0000,0.3014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0661,0.0000,0.0000,0.0000,;4,4,3,1,0,0,0,0,0,0,0,;0.1705;5;2;182000;2.50;
35GRDJC92I6VOWRC3MF6JHNHWWLC7I.png;0.0178,0.0000,0.0000,0.1713,0.0786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,1,0,0,0,0,0,0,0,0,0,;0.0892;1;1;91000;1.00;
35HIM1LU2HRMGPBVQO0P66HG1MBI5I.png;0.2167,0.0000,0.0000,0.0000,0.0000,0.1652,0.2151,0.5799,0.2153,0.2751,0.4086,0.4480,0.5244,0.0801,0.3039,0.1029,0.3518,0.2213,0.0000,0.0553,0.0000,0.1890,0.0000,0.2551,0.0000,0.3240,0.0143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2101,0.0000,0.0612,0.0000,0.0000,0.0575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1624,;6,3,8,3,1,2,0,0,0,0,0,;0.2364;9;7;637000;4.50;
35QUA2ABY634ZYN782PTB2BL5I8EGJ.png;0.0000,0.0870,0.2512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,0,1,0,0,0,0,0,0,0,0,;0.1483;1;1;91000;1.00;
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7.png;0.0478,0.3866,0.2484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,0,1,1,0,0,0,0,0,0,0,;0.2276;2;2;182000;2.00;
361LJMRMCQ5CDYJ025B6700NV8CUR4.png;0.0000,0.2891,0.0000,0.0000,0.1284,0.1625,0.0035,0.1892,0.1576,0.0000,0.1157,0.3957,0.4297,0.0796,0.0460,0.0472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0251,0.0000,0.5462,0.0000,0.4006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3648,0.0000,0.0000,0.1536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,6,1,3,1,1,0,0,0,0,0,;0.2079;6;2;182000;3.00;
369VX4MEOJAKM0DV8XRK62EAJWKGI1.png;0.2306,0.2575,0.2110,0.3982,0.1023,0.0000,0.0000,0.0000,0.0237,0.0000,0.0157,0.0176,0.0080,0.0889,0.0331,0.0000,0.2060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,1,3,1,0,0,0,0,0,0,0,;0.1327;5;4;364000;2.50;
36ARV8EEH67U95XPYN59VTZKFJ2VA1.png;0.2354,0.0326,0.1841,0.0637,0.1323,0.0280,0.1304,0.0280,0.1262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2107,0.0000,0.1031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,4,2,0,0,0,0,0,0,0,0,;0.1159;6;5;455000;3.00;
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS.png;0.1006,0.3423,0.2392,0.2797,0.3879,0.1955,0.3615,0.2800,0.3535,0.4423,0.1309,0.1355,0.2002,0.0000,0.1158,0.1142,0.0864,0.3364,0.0000,0.3153,0.2626,0.0937,0.0000,0.2087,0.0000,0.2637,0.2214,0.1689,0.0000,0.1653,0.0000,0.0149,0.0113,0.0281,0.0000,0.0943,0.0000,0.0000,0.1010,0.0000,0.0000,0.0796,0.0000,0.0000,0.1980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,10,6,6,1,0,0,0,0,0,0,;0.1978;16;9;819000;5.33;
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW.png;0.2274,0.4072,0.1294,0.2527,0.3670,0.3653,0.3590,0.2619,0.1050,0.0873,0.0776,0.0910,0.0840,0.0746,0.1016,0.0872,0.0779,0.1064,0.0000,0.0900,0.0581,0.0834,0.0000,0.0868,0.0000,0.0813,0.0364,0.0819,0.0000,0.1440,0.0000,0.1025,0.0294,0.0850,0.0000,0.0268,0.0000,0.0000,0.0385,0.0000,0.0000,0.0161,0.0000,0.0000,0.0153,0.0000,0.0000,0.0242,0.0000,0.0000,0.0262,;26,2,3,4,0,0,0,0,0,0,0,;0.1225;9;8;728000;4.50;
36HGGQAXL6L87J29O35QD9YQWSFBVG.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0161,0.0235,0.0116,0.4855,0.0672,0.2019,0.0218,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,1,0,0,1,0,0,0,0,0,0,;0.0948;2;2;182000;2.00;
36IAL8HYOXSPP9QYVLXZPMFW48E4R6.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0376,0.1656,0.1864,0.2456,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0171,0.0000,0.0029,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,3,1,0,0,0,0,0,0,0,0,;0.1108;4;4;364000;4.00;
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL.png;0.0000,0.0000,0.1704,0.3563,0.5165,0.0691,0.0000,0.0000,0.0000,0.0000,0.0547,0.0844,0.0457,0.0000,0.2680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,1,2,1,0,1,0,0,0,0,0,;0.1864;4;2;182000;2.00;
36QDS77QN9NG5USZQM0XMAC2L97HFT.png;0.4348,0.2546,0.6166,0.0878,0.0182,0.0000,0.0000,0.0000,0.0000,0.1414,0.2321,0.2739,0.5115,0.4911,0.3820,0.3960,0.5934,0.0000,0.0000,0.1584,0.0000,0.2020,0.0000,0.1015,0.0000,0.2203,0.0000,0.2144,0.0000,0.1426,0.0000,0.1708,0.0000,0.2775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,5,6,2,2,2,1,0,0,0,0,;0.2819;7;5;455000;3.50;
36QDS77QN9Y3AP81GU3ZJ983H37HFJ.png;0.2664,0.0000,0.0295,0.0717,0.0000,0.0000,0.0000,0.0000,0.0000,0.1020,0.0373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1194,0.0000,0.2430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,1,2,0,0,0,0,0,0,0,0,;0.1242;2;1;91000;2.00;
36R3RQSDPTXRSZ6X7FR6HZHDYAF078.png;0.0943,0.0000,0.0000,0.0225,0.0104,0.0121,0.0000,0.0000,0.0000,0.0230,0.0175,0.0175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0762,0.0000,0.0328,0.0000,0.0295,0.0000,0.0546,0.0000,0.1153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;11,1,0,0,0,0,0,0,0,0,0,;0.0422;4;2;182000;2.00;
375FCEJV4GX4B1VR293XJCDD0I7CCJ.png;0.1531,0.1185,0.2962,0.3504,0.1648,0.1549,0.2768,0.1685,0.2449,0.1702,0.1522,0.3192,0.1501,0.1747,0.1900,0.1709,0.2765,0.1753,0.0000,0.1136,0.0849,0.0498,0.0000,0.3212,0.0000,0.0826,0.0000,0.1841,0.0000,0.1593,0.0000,0.1215,0.0106,0.3139,0.0000,0.0448,0.0000,0.0000,0.0484,0.0000,0.0000,0.0106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0408,0.0000,0.0000,0.0081,;8,16,4,4,0,0,0,0,0,0,0,;0.1606;16;13;1183000;8.00;
375MF9UHMRPR2XWE6NL8JC3TL1HSX9.png;0.0000,0.0870,0.3082,0.4279,0.0110,0.2081,0.1793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,2,1,0,1,0,0,0,0,0,0,;0.2036;3;2;182000;1.50;
37672WDDC2JA93V4O46FCCJ2VAJNM9.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,0,0,0,0,0,0,0,0,0,0,;NaN;0;
378UBY8FQ61LFCJMHZWZTRZI59A8TB.png;0.1376,0.4077,0.2925,0.3048,0.3326,0.2783,0.2890,0.4006,0.2160,0.0000,0.2136,0.1053,0.1143,0.0987,0.0000,0.0163,0.0138,0.0525,0.0000,0.0000,0.0965,0.1416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;7,3,6,3,0,0,0,0,0,0,0,;0.1898;9;9;819000;9.00;
378UBY8FR7AABMKBM232FCEFT60T8E.png;0.1925,0.2624,0.3399,0.2856,0.3775,0.2616,0.1494,0.0845,0.1952,0.1235,0.0866,0.1461,0.1156,0.0230,0.0000,0.0000,0.0000,0.0746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0194,0.0000,0.1312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,7,3,2,0,0,0,0,0,0,0,;0.1620;7;7;637000;7.00;
379R4POZ46ZM5D7FMP5TH9FBQ7PRXR.png;0.2541,0.0389,0.0000,0.0000,0.0905,0.0315,0.0033,0.0685,0.0000,0.0000,0.0000,0.0000,0.0326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,0,1,0,0,0,0,0,0,0,0,;0.0742;2;2;182000;2.00;
37CCG24EIZSNBY0O0RYFBPCKLTQZRW.png;0.0505,0.0327,0.0000,0.0279,0.0000,0.0068,0.0278,0.0068,0.0278,0.0346,0.0000,0.0257,0.0000,0.0309,0.0000,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,0,0,0,0,0,0,0,0,0,0,;0.0251;9;9;819000;9.00;
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_1.png;0.1000,0.0437,0.0411,0.0399,0.0740,0.0078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0747,0.0000,0.0000,0.0000,0.0000,0.0136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,;7,0,0,0,0,0,0,0,0,0,0,;0.0440;3;2;182000;1.50;
37CCG24EIZSNBY0O0RYFBPCKLTQZRW_2.png;0.0766,0.0518,0.0333,0.0478,0.0000,0.0000,0.0107,0.0468,0.0000,0.0000,0.0093,0.0467,0.0000,0.0000,0.0085,0.0488,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,0,0,0,0,0,0,0,0,0,0,;0.0294;7;6;546000;3.50;
37FXVUXR5NUGX6LAN3N06Z6PNZ6EWN.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,0,0,0,0,0,0,0,0,0,0,;NaN;0;
37NNZ8MO7S6VRHEMSEGUVBLX898EQM.png;0.3821,0.1540,0.1289,0.0000,0.0814,0.0000,0.0185,0.0058,0.0000,0.0065,0.0177,0.0000,0.0025,0.0158,0.0058,0.0009,0.0169,0.0000,0.0000,0.0035,0.0164,0.0000,0.0000,0.0000,0.0000,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0091,0.0017,0.0000,0.0000,0.0000,0.0000,0.0035,0.0000,0.0000,0.0118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0141,;8,2,0,1,0,0,0,0,0,0,0,;0.0393;4;4;364000;4.00;
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT.png;0.0000,0.1370,0.2404,0.0480,0.0190,0.0129,0.0000,0.0000,0.0527,0.0000,0.0000,0.0703,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,2,1,0,0,0,0,0,0,0,0,;0.0938;3;2;182000;1.50;
37ZHE2JT1D250TKIB56TICN73UM88S.png;0.3521,0.0187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1782,0.0000,0.0271,0.0000,0.0296,0.0000,0.0308,0.0000,0.1837,0.0000,0.0000,0.0000,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,2,0,1,0,0,0,0,0,0,0,;0.1039;3;1;91000;3.00;
37ZHE2JT1D250TKIB56TICN73UQ88W.png;0.5131,0.2431,0.3626,0.3532,0.5209,0.2843,0.0480,0.2745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,0,3,2,0,2,0,0,0,0,0,;0.3250;4;4;364000;4.00;
37ZUGP9H9BONPT0XCKXE3200JPH817.png;0.3750,0.1831,0.0565,0.0045,0.0420,0.1833,0.2452,0.2741,0.3105,0.1656,0.2023,0.1241,0.2748,0.3465,0.3772,0.0376,0.2848,0.0984,0.0000,0.0607,0.0000,0.1204,0.0000,0.2906,0.0000,0.0279,0.0000,0.0515,0.0000,0.0368,0.0000,0.1944,0.0000,0.1902,0.0000,0.0118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,8,5,4,0,0,0,0,0,0,0,;0.1693;14;11;1001000;4.67;
37ZUGP9H9BONPT0XCKXE3201JQL81F.png;0.3097,0.1442,0.1245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,2,1,0,0,0,0,0,0,0,0,;0.1928;1;1;91000;1.00;
38464Y8J3VK9Y56OSLPV9KDIFIGV4J.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1086,0.0000,0.0000,0.0000,0.0921,0.0000,0.0000,0.0000,0.1076,0.0000,0.0000,0.0000,0.0000,0.0000,0.1289,0.0000,0.1820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0161,0.0000,0.0000,0.0227,;5,2,0,0,0,0,0,0,0,0,0,;0.0940;4;2;182000;2.00;
389X50RO4VDYCDHURIYQ7760LL5343.png;0.2544,0.0098,0.0779,0.0872,0.1009,0.1187,0.0557,0.0000,0.1171,0.0000,0.1155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,0.0000,0.0000,0.0000,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,3,1,0,0,0,0,0,0,0,0,;0.0887;5;5;455000;5.00;
38DNTK7MFN2OC2PZPWU81IIJXME01H.png;0.0379,0.0185,0.0147,0.0159,0.0195,0.0157,0.0192,0.0141,0.0279,0.0143,0.0159,0.0153,0.0147,0.0170,0.0131,0.0136,0.0137,0.1621,0.0000,0.0570,0.0000,0.0986,0.0000,0.0925,0.0000,0.0794,0.0000,0.0291,0.0000,0.0343,0.0000,0.1213,0.0023,0.0563,0.0000,0.0000,0.0000,0.0000,0.0023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;24,2,0,0,0,0,0,0,0,0,0,;0.0370;8;5;455000;2.67;
38DNTK7MFN34LCW85JTSAD2CXFQ01S.png;0.3778,0.3113,0.1259,0.2012,0.0000,0.1639,0.0373,0.0869,0.1413,0.0389,0.1763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0633,0.0000,0.0109,0.0000,0.0967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,5,0,2,0,0,0,0,0,0,0,;0.1409;6;6;546000;6.00;
38DNTK7MFN3UAZX8DF8S385AB3E10K.png;0.2202,0.3938,0.2004,0.0547,0.1310,0.0000,0.0432,0.1935,0.0000,0.0000,0.0000,0.0719,0.0526,0.0000,0.0007,0.3140,0.0895,0.0341,0.0000,0.0859,0.0000,0.0428,0.0000,0.0000,0.0000,0.0617,0.0000,0.0286,0.0000,0.0286,0.0000,0.0799,0.0000,0.0516,0.0000,0.0000,0.0000,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;13,3,1,2,0,0,0,0,0,0,0,;0.1039;6;5;455000;3.00;
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7.png;0.1384,0.2744,0.0358,0.1790,0.1462,0.0157,0.0890,0.1053,0.0853,0.1357,0.0630,0.0822,0.0817,0.0740,0.0981,0.1556,0.1308,0.0674,0.0000,0.0251,0.0040,0.0366,0.0000,0.0000,0.0000,0.0077,0.0000,0.0166,0.0000,0.0184,0.0000,0.0092,0.0000,0.0329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;16,6,1,0,0,0,0,0,0,0,0,;0.0811;13;13;1183000;13.00;
38GRQLZZQQCOARQX7FK2NWOBS4K0CN.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,0,0,0,0,0,0,0,0,0,0,;NaN;0;
38IOEK81UIQHG7BFV93TAAEQ3W496W.png;0.1062,0.0590,0.0000,0.0144,0.8279,0.7753,0.4964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,0,0,0,1,0,0,1,1,0,0,;0.3798;3;3;273000;3.00;
