imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.1984,0.1269,0.0935,0.0311,0.0166,0.0242,0.0250,0.0120,;6,2,0,0,0,0,0,0,0,0,0,;0.0660;3;3;1639200;3.00;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.2116,0.0514,0.0609,0.0000,0.0000,0.0000,0.0000,;2,0,1,0,0,0,0,0,0,0,0,;0.1080;1;1;546400;1.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0388,0.0976,0.0912,0.0215,0.0782,0.0179,0.0611,0.0000,;7,0,0,0,0,0,0,0,0,0,0,;0.0580;4;2;1092800;2.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0536,0.0770,0.1144,0.0266,0.0430,0.0957,0.1062,0.0238,;7,1,0,0,0,0,0,0,0,0,0,;0.0675;4;2;1092800;4.00;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0992,0.0941,0.0599,0.0000,0.0304,0.0738,0.0562,0.0668,;7,0,0,0,0,0,0,0,0,0,0,;0.0686;3;2;1092800;1.50;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0974,0.4207,0.0947,0.1556,0.0964,0.0457,0.0566,0.0892,;6,1,0,0,1,0,0,0,0,0,0,;0.1320;2;1;546400;2.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0000,0.0470,0.0105,0.0270,0.0309,;4,0,0,0,0,0,0,0,0,0,0,;0.0289;2;1;546400;2.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0829,0.1525,0.1095,0.1752,0.1455,0.1938,0.0169,0.0000,;3,4,0,0,0,0,0,0,0,0,0,;0.1252;4;3;1639200;2.00;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.2411,0.3590,0.0792,0.0510,0.0257,0.0000,0.0000,0.0000,;3,0,1,1,0,0,0,0,0,0,0,;0.1512;2;2;1092800;2.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0838,0.0026,0.0000,0.0000,0.0000,0.0000,0.0216,0.1624,;2,1,0,0,0,0,0,0,0,0,0,;0.0676;2;1;546400;2.00;
31ZZN31VRB1J1I6XNAS9X9DBA59QRV.png;0.1331,0.0319,0.0358,0.0341,0.0188,0.0266,0.0166,0.0373,;7,1,0,0,0,0,0,0,0,0,0,;0.0418;1;1;546400;1.00;
3203J2GC2PK4HSXGZ2GG107218V84Q.png;0.2410,0.1230,0.0518,0.0182,0.0585,0.0092,0.0000,0.0350,;4,1,1,0,0,0,0,0,0,0,0,;0.0767;2;2;1092800;2.00;
3203J2GC2PK4HSXGZ2GG1073Z7V84O.png;0.2102,0.0399,0.0000,0.0000,0.0006,0.1036,0.0195,0.0700,;4,0,1,0,0,0,0,0,0,0,0,;0.0740;2;1;546400;2.00;
3203J2GC2PK4HSXGZ2GG1074VAS84P.png;0.1463,0.0328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,1,0,0,0,0,0,0,0,0,0,;0.0896;1;1;546400;1.00;
320GLP60AN5TS9K5PU8IGRVPKUZ14P.png;0.0000,0.0655,0.0832,0.0659,0.0406,0.0766,0.0909,0.1457,;6,1,0,0,0,0,0,0,0,0,0,;0.0812;3;2;1092800;1.50;
320GLP60AN6FM9FGZXIOL5AG38941T.png;0.0163,0.2410,0.1742,0.1812,0.1057,0.0097,0.0045,0.0710,;3,2,1,0,0,0,0,0,0,0,0,;0.1004;4;4;2185600;4.00;
323KIQYDLQ7S9UIT4NE6QLFONB14CB.png;0.1108,0.0000,0.0000,0.0000,0.0177,0.0705,0.0288,0.0000,;3,1,0,0,0,0,0,0,0,0,0,;0.0570;2;1;546400;2.00;
3244QHISJ1ITNE98CFK36E7RG91L0N.png;0.0362,0.0619,0.0000,0.0000,0.0518,0.0085,0.0000,0.0000,;3,0,0,0,0,0,0,0,0,0,0,;0.0396;2;1;546400;2.00;
3244QHISK2XKVEPCAXDY38M44I9L04.png;0.1435,0.0297,0.0056,0.0232,0.0112,0.0112,0.0112,0.0341,;6,1,0,0,0,0,0,0,0,0,0,;0.0337;2;1;546400;2.00;
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W.png;0.0488,0.0646,0.0259,0.0182,0.0334,0.0000,0.0000,0.0000,;5,0,0,0,0,0,0,0,0,0,0,;0.0382;2;2;1092800;2.00;
32GVUSPLEYOYH9SP841K39EVOUOK3Z.png;0.1304,0.1230,0.0675,0.0416,0.1191,0.1143,0.1485,0.0476,;3,5,0,0,0,0,0,0,0,0,0,;0.0990;5;3;1639200;2.50;
32GVUSPLFZ61Q5EOZV799O813X5K3C.png;0.1532,0.0866,0.0309,0.0232,0.0202,0.0238,0.0198,0.0171,;7,1,0,0,0,0,0,0,0,0,0,;0.0469;2;2;1092800;2.00;
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81.png;0.0723,0.0109,0.0026,0.0117,0.0028,0.0000,0.0055,0.0026,;3,0,0,0,0,0,0,0,0,0,0,;0.0155;1;1;546400;1.00;
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D.png;0.1971,0.2614,0.0896,0.1653,0.2088,0.0881,0.1107,0.0534,;3,4,1,0,0,0,0,0,0,0,0,;0.1468;4;2;1092800;4.00;
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM.png;0.3517,0.0129,0.0000,0.0000,0.0102,0.0300,0.0987,0.0838,;5,0,0,1,0,0,0,0,0,0,0,;0.0979;2;1;546400;2.00;
32WAV7G60PNC75TK9C1M3A29EH0D36.png;0.0374,0.0498,0.0938,0.0144,0.0000,0.0104,0.0442,0.0000,;6,0,0,0,0,0,0,0,0,0,0,;0.0417;3;2;1092800;1.50;
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N.png;0.0575,0.0005,0.0000,0.0000,0.0030,0.0253,0.0154,0.0208,;4,0,0,0,0,0,0,0,0,0,0,;0.0204;3;1;546400;3.00;
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM.png;0.0302,0.0148,0.0323,0.0000,0.0000,0.0000,0.0000,0.0000,;3,0,0,0,0,0,0,0,0,0,0,;0.0258;2;1;546400;2.00;
330XZFCZ7RB627L6HWI9543W690TXG.png;0.2153,0.0961,0.1052,0.1460,0.1809,0.1045,0.0654,0.0988,;5,2,1,0,0,0,0,0,0,0,0,;0.1265;3;2;1092800;1.50;
33EWWXEH81XUPFZ4BLANE2SZQMJ40X.png;0.0317,0.0251,0.0161,0.0193,0.0147,0.0249,0.0136,0.0000,;7,0,0,0,0,0,0,0,0,0,0,;0.0208;3;2;1092800;1.50;
33FLRCV01N0NF725EJLGLLU8UGYORG.png;0.0335,0.0408,0.0517,0.0013,0.0000,0.0000,0.0000,0.0268,;4,0,0,0,0,0,0,0,0,0,0,;0.0308;3;3;1639200;3.00;
33QM7VBL79CAH7ME53S2DMVHTOZ3QX.png;0.2307,0.1830,0.0894,0.1565,0.1207,0.0895,0.0965,0.0923,;4,3,1,0,0,0,0,0,0,0,0,;0.1323;3;2;1092800;1.50;
33RX46D1RXVH625SCIG7UWSYT80X1J.png;0.0330,0.1004,0.1024,0.0362,0.1137,0.0845,0.0934,0.0858,;7,1,0,0,0,0,0,0,0,0,0,;0.0812;6;4;2185600;3.00;
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ.png;0.0630,0.2797,0.0944,0.1107,0.1030,0.1318,0.1056,0.0705,;5,2,1,0,0,0,0,0,0,0,0,;0.1198;2;1;546400;2.00;
344RGS4J7S874QSQIPH3B5TQWFPMPU.png;0.1469,0.1486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0781,;1,2,0,0,0,0,0,0,0,0,0,;0.1245;2;2;1092800;2.00;
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1.png;0.0108,0.1730,0.0667,0.0258,0.0000,0.0000,0.0000,0.0000,;3,1,0,0,0,0,0,0,0,0,0,;0.0691;1;1;546400;1.00;
34KQN2TBKTGWLIK008X22C5QD2JSAJ.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,0,0,0,0,0,0,0,0,0,0,;NaN;0;
34RF8KPUOTU14SPS6MXYXNPWVK1SBB.png;0.0032,0.0033,0.0181,0.0072,0.0172,0.0078,0.0120,0.0094,;3,0,0,0,0,0,0,0,0,0,0,;0.0098;3;1;546400;3.00;
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1.png;0.0495,0.0862,0.0457,0.0153,0.0224,0.0202,0.0177,0.0242,;8,0,0,0,0,0,0,0,0,0,0,;0.0352;3;3;1639200;3.00;
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2.png;0.0760,0.0288,0.0286,0.0186,0.0178,0.0201,0.0215,0.0239,;8,0,0,0,0,0,0,0,0,0,0,;0.0294;1;1;546400;1.00;
34RF8KPUOTU14SPS6MXYXNPWVK7SBH.png;0.0164,0.0049,0.0242,0.0071,0.0340,0.0049,0.0031,0.0000,;3,0,0,0,0,0,0,0,0,0,0,;0.0135;3;1;546400;3.00;
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB.png;0.0954,0.3240,0.3118,0.1635,0.2720,0.2647,0.1509,0.0463,;2,2,2,2,0,0,0,0,0,0,0,;0.2036;4;2;1092800;4.00;
3568B45QGKRG3Y1LZDHA1JA6BSCO3E.png;0.2875,0.0000,0.0000,0.0000,0.0000,0.0067,0.0369,0.0242,;2,0,1,0,0,0,0,0,0,0,0,;0.0888;1;1;546400;1.00;
3589VT1T2BGMXIVHZGNGS492OQIJN8.png;0.1583,0.0000,0.0000,0.0000,0.0041,0.0153,0.0726,0.0838,;3,1,0,0,0,0,0,0,0,0,0,;0.0668;3;2;1092800;1.50;
35DAEVU8JHJ10FFZ10EN4CRDQ8F870.png;0.0866,0.0354,0.0501,0.0000,0.1079,0.0000,0.0000,0.1102,;4,1,0,0,0,0,0,0,0,0,0,;0.0781;3;1;546400;3.00;
35GRDJC92I6VOWRC3MF6JHNHWWLC7I.png;0.0090,0.0489,0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,;2,0,0,0,0,0,0,0,0,0,0,;0.0252;1;1;546400;1.00;
