imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.0363,0.0330,0.0000,0.0000,0.0000,0.0284,0.1664,0.0194,0.2521,0.0142,0.1324,0.1614,0.0588,0.1235,0.1259,0.0288,0.0000,0.0000,0.0000,0.0096,0.0000,0.1163,0.0000,0.0000,0.0754,0.0671,0.0000,0.0070,0.0000,0.0492,0.0000,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;12,6,1,0,0,0,0,0,0,0,0,;0.0756;7;2;120000;3.50;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0700,0.0216,0.0000,0.0876,0.0000,0.0000,0.0000,0.0000,0.0544,0.0000,0.0000,0.0000,0.1200,0.0000,0.0000,0.0372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,1,0,0,0,0,0,0,0,0,0,;0.0651;3;2;120000;1.50;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3729,0.0000,0.2129,0.0000,0.1367,0.0000,0.0000,0.1367,0.0000,0.0000,0.0000,0.0158,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.1433,0.0000,0.0000,0.0000,0.0000,0.1104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,7,1,1,0,0,0,0,0,0,0,;0.1552;2;1;60000;2.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1992,0.0000,0.0227,0.2861,0.0000,0.1157,0.2113,0.2590,0.0000,0.0550,0.0000,0.2675,0.0550,0.0000,0.0000,0.1024,0.2273,0.0000,0.0000,0.0110,0.0000,0.1349,0.0000,0.0000,0.0000,0.0000,0.0747,0.0000,0.0000,0.0000,0.0000,0.0519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;7,3,5,0,0,0,0,0,0,0,0,;0.1383;6;2;120000;3.00;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2169,0.0000,0.0000,0.0000,0.0000,0.0733,0.0000,0.0800,0.0609,0.3296,0.0000,0.0000,0.0000,0.2778,0.0000,0.0000,0.0000,0.1231,0.2280,0.0000,0.0000,0.0155,0.0000,0.0665,0.0000,0.0000,0.0000,0.0000,0.0008,0.0991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1313,0.0000,0.0000,0.0000,0.0000,0.0551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;7,2,3,1,0,0,0,0,0,0,0,;0.1256;5;2;120000;2.50;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.2645,0.2667,0.2037,0.2367,0.2144,0.1483,0.1767,0.0132,0.3281,0.1917,0.1767,0.0000,0.1704,0.0000,0.1917,0.1183,0.2100,0.0000,0.1767,0.1917,0.0036,0.0994,0.1767,0.0000,0.1917,0.0000,0.1431,0.0000,0.0000,0.1917,0.0000,0.0000,0.0000,0.0000,0.1553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,16,4,1,0,0,0,0,0,0,0,;0.1767;12;8;480000;4.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.1572,0.1722,0.0000,0.0000,0.2042,0.0000,0.1964,0.0000,0.0451,0.0000,0.0000,0.0817,0.0000,0.0000,0.0239,0.0000,0.0776,0.0000,0.0000,0.0000,0.0043,0.0000,0.0000,0.0150,0.0000,0.0000,0.0000,0.0000,0.0128,0.0000,0.0000,0.0000,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;6,4,0,0,0,0,0,0,0,0,0,;0.0828;4;2;120000;2.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.2956,0.2156,0.2761,0.4201,0.0000,0.0357,0.3185,0.0000,0.0430,0.0000,0.3337,0.0000,0.2124,0.0000,0.0000,0.2100,0.0000,0.0000,0.2752,0.0000,0.0000,0.1158,0.3253,0.0000,0.0000,0.0000,0.4190,0.0721,0.0000,0.0000,0.1481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0587,0.0000,0.0000,0.0000,0.0000,0.0533,0.0000,0.0000,0.0000,0.0000,0.0415,0.0000,0.0000,0.0000,0.0000,0.0000,;6,3,5,3,2,0,0,0,0,0,0,;0.2037;11;7;420000;5.50;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.1609,0.0374,0.2721,0.0000,0.0000,0.1967,0.3106,0.0000,0.1331,0.0000,0.3655,0.0000,0.3754,0.2477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0980,0.0000,0.0000,0.0000,0.0925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,3,2,3,0,0,0,0,0,0,0,;0.2082;5;1;60000;5.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0330,0.0000,0.0000,0.0000,0.0000,0.0433,0.0000,0.0000,0.0000,0.0000,0.0416,0.0000,0.0000,0.0000,0.0000,0.1248,0.0000,0.0000,0.0000,0.0000,0.1860,0.0000,0.0000,0.0000,0.0000,0.1839,0.0000,0.0000,0.0000,0.0000,0.1214,0.0000,0.0000,0.0000,0.0000,0.0225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,4,1,0,0,0,0,0,0,0,0,;0.1142;5;1;60000;5.00;
