imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.2467,0.1497,0.1324,0.0618,0.0332,0.0318,0.0361,0.0241,0.0000,0.0000,0.0000,0.0165,0.0000,0.0139,0.0000,0.0000,;7,2,1,0,0,0,0,0,0,0,0,;0.0746;3;3;819600;3.00;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.4232,0.1029,0.1218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,1,0,0,1,0,0,0,0,0,0,;0.2160;1;1;273200;1.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0776,0.1006,0.1592,0.0430,0.1357,0.0359,0.0611,0.0000,0.0000,0.0207,0.0000,0.0000,0.0000,0.0611,0.0000,0.0000,;7,2,0,0,0,0,0,0,0,0,0,;0.0772;4;4;1092800;4.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0943,0.1540,0.2152,0.0532,0.0824,0.1914,0.1989,0.0477,0.0000,0.0035,0.0000,0.0000,0.0000,0.0136,0.0000,0.0000,;5,3,1,0,0,0,0,0,0,0,0,;0.1054;4;4;1092800;4.00;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.1360,0.1392,0.0520,0.0000,0.0550,0.1253,0.0827,0.1086,0.0000,0.0057,0.0000,0.0222,0.0000,0.0297,0.0000,0.0250,;7,3,0,0,0,0,0,0,0,0,0,;0.0710;5;3;819600;2.50;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.1001,0.5061,0.1486,0.2590,0.1662,0.0800,0.0984,0.1520,0.0000,0.0265,0.0000,0.0115,0.0000,0.0147,0.0000,0.0265,;7,3,1,0,1,0,0,0,0,0,0,;0.1325;5;5;1366000;5.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0000,0.0745,0.0211,0.0540,0.0619,0.0000,0.0195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,0,0,0,0,0,0,0,0,0,0,;0.0462;3;3;819600;3.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.1651,0.2444,0.1584,0.2443,0.2412,0.2817,0.0000,0.0000,0.0000,0.0498,0.0000,0.1059,0.0000,0.0337,0.0000,0.0000,;3,2,4,0,0,0,0,0,0,0,0,;0.1694;4;4;1092800;4.00;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.2151,0.3021,0.1387,0.1020,0.0514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,1,2,0,0,0,0,0,0,0,0,;0.1619;2;2;546400;2.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0843,0.0026,0.0000,0.0000,0.0000,0.0000,0.0207,0.2198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0226,0.0000,0.1049,;4,0,1,0,0,0,0,0,0,0,0,;0.0758;3;1;273200;3.00;
