imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.1250,0.4129,0.3209,0.1082,0.0000,0.0000,0.2093,0.4103,0.4343,0.0377,0.0314,0.1242,0.0920,0.0603,0.1210,0.0981,0.0457,0.0484,0.0388,0.0666,0.1177,0.0381,0.0100,0.0051,0.0106,0.0054,0.0059,0.0980,0.0410,0.0682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0264,0.0000,0.0294,0.0005,0.0024,0.0000,0.0014,0.0000,0.0024,0.0000,0.0013,0.0000,0.0553,0.0000,0.0429,0.0000,0.0354,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0380,0.0000,0.0000,0.0218,0.0000,0.0000,0.0387,0.0000,0.0000,0.0204,0.0000,0.0000,0.0197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;26,5,0,1,3,0,0,0,0,0,0,;0.0819;13;10;455000;4.67;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.0000,0.0000,0.0000,0.0000,0.5947,0.2354,0.5313,0.5313,0.3430,0.0000,0.0000,0.0632,0.4531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0767,0.0000,0.6481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,0,1,1,1,3,1,0,0,0,0,;0.3863;5;3;136500;2.50;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0175,0.4485,0.0000,0.0000,0.1033,0.0289,0.0225,0.0239,0.0251,0.1086,0.0000,0.2492,0.0000,0.0000,0.2262,0.0000,0.0834,0.1797,0.1055,0.0352,0.0000,0.2123,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6822,0.0000,0.0512,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;11,1,3,1,1,0,1,0,0,0,0,;0.1564;7;3;136500;3.50;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.0000,0.2081,0.2587,0.0000,0.1711,0.1102,0.2045,0.1664,0.2496,0.2814,0.1719,0.1711,0.1238,0.0295,0.0000,0.1661,0.1184,0.1704,0.0000,0.0406,0.2651,0.1901,0.2325,0.1889,0.2085,0.2953,0.1981,0.1203,0.0000,0.0000,0.1610,0.1252,0.0568,0.1136,0.0000,0.1864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0521,0.0000,0.1740,0.0000,0.0463,0.0000,0.0930,0.0000,0.3378,0.0000,0.0228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0626,0.0000,0.1252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;8,22,6,1,0,0,0,0,0,0,0,;0.1594;22;9;409500;11.50;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.0000,0.0841,0.1068,0.2196,0.1509,0.0812,0.1077,0.0000,0.1451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0402,0.1498,0.1243,0.1167,0.1167,0.2084,0.1197,0.0809,0.1128,0.1167,0.1167,0.0958,0.1119,0.1156,0.0506,0.0000,0.1158,0.0000,0.0000,0.0205,0.0000,0.1514,0.0000,0.0806,0.0000,0.0419,0.0000,0.0762,0.0000,0.1116,0.0000,0.0734,0.0000,0.0298,0.0000,0.0543,0.0000,0.0476,0.0000,0.0845,0.0000,0.1050,0.0000,0.0343,0.0025,0.1279,0.0000,0.0763,0.0000,0.0000,0.0024,0.0695,0.0000,0.0024,0.0000,0.0000,0.0024,0.0000,0.0000,0.0014,0.0000,0.0000,0.0341,0.0000,0.0000,0.0017,0.0000,0.0000,0.0025,0.0000,0.0000,0.0024,0.0000,0.0000,0.0037,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;22,17,1,0,0,0,0,0,0,0,0,;0.0786;27;14;637000;9.00;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.0000,0.0000,0.0000,0.3554,0.5947,0.2100,0.6113,0.4355,0.1098,0.4266,0.0000,0.0000,0.0000,0.2509,0.2679,0.5415,0.0000,0.0843,0.0452,0.4977,0.0000,0.0000,0.0856,0.2342,0.3001,0.0000,0.0233,0.0622,0.4318,0.1098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0430,0.0000,0.4872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2293,0.0000,0.2938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4227,0.0000,0.1075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;9,1,6,1,6,2,2,0,0,0,0,;0.2923;13;5;227500;4.33;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2062,0.2035,0.1264,0.0000,0.0000,0.0000,0.0000,0.0000,0.1432,0.1812,0.3715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1275,0.0000,0.0271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,6,0,1,0,0,0,0,0,0,0,;0.1733;4;2;91000;4.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.0000,0.0000,0.3125,0.3098,0.3087,0.2808,0.3263,0.0733,0.0478,0.0708,0.2618,0.3044,0.5084,0.1924,0.0421,0.2832,0.3645,0.2917,0.2837,0.0733,0.0566,0.7077,0.2829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2581,0.0000,0.3939,0.0415,0.0198,0.0000,0.4546,0.0000,0.8176,0.0246,0.0082,0.0000,0.0000,0.0000,0.0000,0.0265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1949,0.0000,0.0498,0.0000,0.2302,0.0000,0.0000,0.0000,0.0000,0.0603,0.0000,0.0000,0.1422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;12,3,11,4,2,0,1,0,1,0,0,;0.2316;18;14;637000;9.00;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.0197,0.0363,0.5125,0.2143,0.2422,0.1733,0.2009,0.1835,0.1251,0.3947,0.0029,0.0000,0.2684,0.1989,0.0000,0.1452,0.0000,0.3086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,6,4,1,0,1,0,0,0,0,0,;0.2018;6;3;136500;2.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1321,0.4460,0.0952,0.4460,0.3357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0659,0.0000,0.1938,0.0000,0.3356,0.0000,0.2443,0.0000,0.5099,0.0000,0.1174,0.0000,0.5438,0.0000,0.2031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0257,0.0000,0.0000,0.0338,0.0000,0.0000,0.0097,0.0000,0.0000,0.0281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;5,4,1,2,3,1,0,0,0,0,0,;0.2215;7;4;182000;2.33;
