imageID;text densities;Histogram of windows with text densitites b/w 0:0.1:1;threshold;windows greater than threshold;largest connected window (no. of windows);largest connected window in pixels;The average size of connected regions;
306OACM7G04QOX49OC3VEMIMU7KA8L.png;0.1612,0.2079,0.0776,0.0461,0.0382,0.0000,0.0000,0.0099,0.0004,0.0229,0.0000,0.0100,0.0000,0.0000,0.0131,;5,2,0,0,0,0,0,0,0,0,0,;0.0587;3;3;819000;3.00;
30E2X49V611K26Z0IIHLB47CQY53NF.png;0.1384,0.2448,0.0755,0.0000,0.0000,0.0464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,1,1,0,0,0,0,0,0,0,0,;0.1263;2;2;546000;2.00;
30E2X49V611K26Z0IIHLB47CQY63NG.png;0.0997,0.0715,0.0815,0.0593,0.0000,0.0946,0.0000,0.0000,0.0000,0.1222,0.0000,0.0000,0.0000,0.0000,0.0000,;5,1,0,0,0,0,0,0,0,0,0,;0.0882;3;1;273000;3.00;
30GUUI0R316PRKEN69AJEXY15MMBCT.png;0.1247,0.2075,0.1014,0.1529,0.1370,0.0311,0.0000,0.0454,0.0000,0.0756,0.0000,0.0000,0.0000,0.0000,0.0000,;4,4,0,0,0,0,0,0,0,0,0,;0.1094;4;4;1092000;4.00;
319N3DB42B6LKGW48RIT1IUY6MJEPG.png;0.1071,0.0421,0.0000,0.1260,0.1071,0.0000,0.0000,0.0804,0.0000,0.0658,0.0000,0.0021,0.0000,0.0000,0.0074,;5,1,0,0,0,0,0,0,0,0,0,;0.0672;4;4;1092000;4.00;
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP.png;0.1933,0.2639,0.1908,0.1438,0.1545,0.1347,0.0000,0.1266,0.0000,0.1373,0.0000,0.0000,0.0000,0.0000,0.0000,;0,7,1,0,0,0,0,0,0,0,0,;0.1681;3;3;819000;3.00;
31QBDMKNDPO96CGOU6OI3UH1N96L85.png;0.0000,0.0000,0.0000,0.0894,0.1160,0.0213,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,1,0,0,0,0,0,0,0,0,0,;0.0578;2;2;546000;2.00;
31QOF9ABLNAV27TO4PXO0GLATWO1L1.png;0.2020,0.1807,0.2804,0.2340,0.0000,0.1693,0.0000,0.2823,0.0638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0337,;2,3,3,0,0,0,0,0,0,0,0,;0.1808;4;3;819000;2.00;
31R9JPCYP6DVE0AQVNO2QFRENFMWRA.png;0.1997,0.1512,0.1535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,3,0,0,0,0,0,0,0,0,0,;0.1681;1;1;273000;1.00;
31TTIPZ8XM69HILWQZWMCQMN1KS3GE.png;0.0000,0.0000,0.0000,0.0000,0.0220,0.0000,0.0000,0.0000,0.0000,0.1399,0.0000,0.0000,0.0000,0.0000,0.0043,;1,1,0,0,0,0,0,0,0,0,0,;0.0554;1;1;273000;1.00;
31ZZN31VRB1J1I6XNAS9X9DBA59QRV.png;0.1066,0.0620,0.0615,0.0602,0.0558,0.0247,0.0000,0.0127,0.0000,0.0075,0.0000,0.0000,0.0000,0.0000,0.0000,;7,0,0,0,0,0,0,0,0,0,0,;0.0489;5;5;1365000;5.00;
3203J2GC2PK4HSXGZ2GG107218V84Q.png;0.1980,0.0000,0.0000,0.0000,0.0000,0.1283,0.0000,0.0379,0.0056,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,;2,2,0,0,0,0,0,0,0,0,0,;0.0880;2;1;273000;2.00;
3203J2GC2PK4HSXGZ2GG1073Z7V84O.png;0.1263,0.0000,0.0000,0.1923,0.0978,0.0000,0.0000,0.0164,0.0000,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,;3,2,0,0,0,0,0,0,0,0,0,;0.0888;3;3;819000;3.00;
3203J2GC2PK4HSXGZ2GG1074VAS84P.png;0.2229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,0,1,0,0,0,0,0,0,0,0,;0.2229;1;1;273000;1.00;
320GLP60AN5TS9K5PU8IGRVPKUZ14P.png;0.0000,0.0000,0.0019,0.0368,0.0986,0.0691,0.0000,0.0508,0.0838,0.2379,0.0000,0.1241,0.0000,0.0000,0.0503,;6,1,1,0,0,0,0,0,0,0,0,;0.0837;4;3;819000;2.00;
320GLP60AN6FM9FGZXIOL5AG38941T.png;0.0904,0.1373,0.1410,0.0086,0.0028,0.2333,0.0000,0.0088,0.1960,0.1455,0.0000,0.0059,0.0000,0.0000,0.0005,;1,4,1,0,0,0,0,0,0,0,0,;0.0882;6;5;1365000;3.00;
323KIQYDLQ7S9UIT4NE6QLFONB14CB.png;0.1671,0.0000,0.0023,0.1279,0.0000,0.0000,0.0000,0.0297,0.0000,0.0092,0.0000,0.0166,0.0000,0.0000,0.0483,;3,2,0,0,0,0,0,0,0,0,0,;0.0573;2;2;546000;2.00;
3244QHISJ1ITNE98CFK36E7RG91L0N.png;0.1114,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.1208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,2,0,0,0,0,0,0,0,0,0,;0.0825;2;1;273000;2.00;
3244QHISK2XKVEPCAXDY38M44I9L04.png;0.1336,0.0115,0.0304,0.0115,0.0115,0.0300,0.0000,0.0054,0.0085,0.0075,0.0000,0.0054,0.0000,0.0000,0.0286,;6,1,0,0,0,0,0,0,0,0,0,;0.0258;4;2;546000;2.00;
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W.png;0.1222,0.0440,0.0666,0.0000,0.0000,0.0366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,1,0,0,0,0,0,0,0,0,0,;0.0674;1;1;273000;1.00;
32GVUSPLEYOYH9SP841K39EVOUOK3Z.png;0.1613,0.1516,0.0904,0.2240,0.1953,0.0117,0.0000,0.1978,0.0020,0.1151,0.0000,0.0243,0.0000,0.0000,0.0357,;4,5,1,0,0,0,0,0,0,0,0,;0.1099;6;6;1638000;6.00;
32GVUSPLFZ61Q5EOZV799O813X5K3C.png;0.1348,0.0782,0.0513,0.0519,0.0476,0.0155,0.0000,0.0158,0.0000,0.0156,0.0000,0.0000,0.0000,0.0000,0.0000,;7,1,0,0,0,0,0,0,0,0,0,;0.0513;3;3;819000;3.00;
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81.png;0.0778,0.0051,0.0289,0.0000,0.0110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,0,0,0,0,0,0,0,0,0,0,;0.0307;1;1;273000;1.00;
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D.png;0.2883,0.1597,0.1893,0.1638,0.1775,0.2159,0.0000,0.1545,0.1145,0.0774,0.0000,0.0872,0.0000,0.0000,0.0288,;3,6,2,0,0,0,0,0,0,0,0,;0.1506;7;7;1911000;7.00;
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM.png;0.3780,0.0257,0.0000,0.0806,0.2645,0.0000,0.0000,0.0000,0.0000,0.1008,0.0000,0.0000,0.0000,0.0000,0.0000,;3,0,1,1,0,0,0,0,0,0,0,;0.1699;2;2;546000;2.00;
32WAV7G60PNC75TK9C1M3A29EH0D36.png;0.0474,0.0319,0.0020,0.0151,0.0093,0.0269,0.0000,0.0058,0.0000,0.0792,0.0000,0.0000,0.0000,0.0000,0.0000,;5,0,0,0,0,0,0,0,0,0,0,;0.0272;3;2;546000;1.50;
32WAV7G6ZOBEE25MHO1EVKD7PUBD3N.png;0.1159,0.0000,0.0000,0.0567,0.0490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,1,0,0,0,0,0,0,0,0,0,;0.0739;1;1;273000;1.00;
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM.png;0.0390,0.0089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,0,0,0,0,0,0,0,0,0,0,;0.0239;1;1;273000;1.00;
330XZFCZ7RB627L6HWI9543W690TXG.png;0.2656,0.1874,0.2341,0.3573,0.1960,0.1026,0.0000,0.0921,0.0774,0.0160,0.0000,0.0000,0.0000,0.0000,0.0000,;4,2,2,1,0,0,0,0,0,0,0,;0.1698;5;5;1365000;5.00;
33EWWXEH81XUPFZ4BLANE2SZQMJ40X.png;0.0440,0.0181,0.0209,0.0151,0.0000,0.0330,0.0000,0.0490,0.0000,0.0273,0.0000,0.0000,0.0000,0.0000,0.0000,;7,0,0,0,0,0,0,0,0,0,0,;0.0296;3;2;546000;1.50;
33FLRCV01N0NF725EJLGLLU8UGYORG.png;0.0476,0.0344,0.0021,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,0,0,0,0,0,0,0,0,0,0,;0.0211;2;2;546000;2.00;
33QM7VBL79CAH7ME53S2DMVHTOZ3QX.png;0.3567,0.1789,0.2160,0.1793,0.1561,0.1691,0.0000,0.0964,0.0725,0.1243,0.0000,0.0007,0.0000,0.0000,0.0402,;3,5,1,1,0,0,0,0,0,0,0,;0.1446;6;6;1638000;6.00;
33RX46D1RXVH625SCIG7UWSYT80X1J.png;0.0000,0.1213,0.1099,0.1677,0.1202,0.0108,0.0000,0.1386,0.0000,0.1024,0.0000,0.0421,0.0000,0.0000,0.0422,;5,4,0,0,0,0,0,0,0,0,0,;0.0950;6;6;1638000;6.00;
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ.png;0.2174,0.2386,0.1561,0.2138,0.1798,0.1395,0.0000,0.1476,0.0345,0.1039,0.0000,0.0000,0.0000,0.0000,0.0000,;2,4,3,0,0,0,0,0,0,0,0,;0.1590;4;4;1092000;4.00;
344RGS4J7S874QSQIPH3B5TQWFPMPU.png;0.1458,0.0186,0.0000,0.0000,0.0349,0.0000,0.0000,0.0000,0.0000,0.0917,0.0000,0.0000,0.0000,0.0000,0.0298,;4,1,0,0,0,0,0,0,0,0,0,;0.0641;2;1;273000;2.00;
34B3PHKY7L0QRWI1JO5S4NCKMT3NE1.png;0.1280,0.2422,0.0516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,1,1,0,0,0,0,0,0,0,0,;0.1406;1;1;273000;1.00;
34KQN2TBKTGWLIK008X22C5QD2JSAJ.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,0,0,0,0,0,0,0,0,0,0,;NaN;0;
34RF8KPUOTU14SPS6MXYXNPWVK1SBB.png;0.0065,0.0403,0.0343,0.0258,0.0239,0.0027,0.0000,0.0014,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,;4,0,0,0,0,0,0,0,0,0,0,;0.0169;4;4;1092000;4.00;
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1.png;0.0683,0.1131,0.0282,0.0793,0.0617,0.0025,0.0000,0.0058,0.0000,0.0053,0.0000,0.0000,0.0000,0.0000,0.0000,;4,1,0,0,0,0,0,0,0,0,0,;0.0455;4;4;1092000;4.00;
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2.png;0.0840,0.0797,0.0509,0.0536,0.0583,0.0041,0.0000,0.0043,0.0000,0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,;5,0,0,0,0,0,0,0,0,0,0,;0.0424;5;5;1365000;5.00;
34RF8KPUOTU14SPS6MXYXNPWVK7SBH.png;0.0169,0.0383,0.0430,0.0359,0.0062,0.0058,0.0000,0.0072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;4,0,0,0,0,0,0,0,0,0,0,;0.0219;3;3;819000;3.00;
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB.png;0.2562,0.1272,0.2445,0.3335,0.1644,0.3475,0.0000,0.3290,0.0478,0.1746,0.0000,0.0989,0.0000,0.0000,0.0490,;3,3,2,3,0,0,0,0,0,0,0,;0.1975;5;5;1365000;5.00;
3568B45QGKRG3Y1LZDHA1JA6BSCO3E.png;0.2434,0.0000,0.0000,0.0134,0.1002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,0,1,0,0,0,0,0,0,0,0,;0.1190;1;1;273000;1.00;
3589VT1T2BGMXIVHZGNGS492OQIJN8.png;0.3054,0.0000,0.0000,0.0389,0.0618,0.0000,0.0000,0.0000,0.0000,0.2260,0.0000,0.0000,0.0000,0.0000,0.0000,;2,0,2,0,0,0,0,0,0,0,0,;0.1580;2;1;273000;2.00;
35DAEVU8JHJ10FFZ10EN4CRDQ8F870.png;0.1279,0.1172,0.0434,0.0000,0.0000,0.1283,0.0000,0.0000,0.0443,0.0765,0.0000,0.0000,0.0000,0.0000,0.0000,;3,3,0,0,0,0,0,0,0,0,0,;0.0896;3;3;819000;3.00;
35GRDJC92I6VOWRC3MF6JHNHWWLC7I.png;0.0059,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,0,0,0,0,0,0,0,0,0,0,;0.0446;1;1;273000;1.00;
35HIM1LU2HRMGPBVQO0P66HG1MBI5I.png;0.0722,0.0551,0.3368,0.3772,0.3028,0.1099,0.0000,0.1665,0.0048,0.1080,0.0000,0.0204,0.0000,0.0000,0.0192,;6,1,1,2,0,0,0,0,0,0,0,;0.1430;4;4;1092000;4.00;
35QUA2ABY634ZYN782PTB2BL5I8EGJ.png;0.1127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,1,0,0,0,0,0,0,0,0,0,;0.1127;1;1;273000;1.00;
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7.png;0.2276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;0,0,1,0,0,0,0,0,0,0,0,;0.2276;1;1;273000;1.00;
361LJMRMCQ5CDYJ025B6700NV8CUR4.png;0.0964,0.0970,0.1168,0.1705,0.1851,0.0287,0.0000,0.1904,0.0000,0.1335,0.0000,0.1216,0.0000,0.0000,0.0512,;4,6,0,0,0,0,0,0,0,0,0,;0.1191;5;5;1365000;5.00;
369VX4MEOJAKM0DV8XRK62EAJWKGI1.png;0.2330,0.1668,0.0079,0.0111,0.0433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;2,1,1,0,0,0,0,0,0,0,0,;0.0924;2;2;546000;2.00;
36ARV8EEH67U95XPYN59VTZKFJ2VA1.png;0.1507,0.0747,0.0948,0.0000,0.0000,0.0435,0.0000,0.0702,0.0000,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,;5,1,0,0,0,0,0,0,0,0,0,;0.0781;2;1;273000;2.00;
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS.png;0.2274,0.2877,0.3316,0.2362,0.1054,0.2816,0.0000,0.2059,0.1678,0.1993,0.0000,0.1240,0.0000,0.0000,0.1262,;1,5,4,1,0,0,0,0,0,0,0,;0.2085;5;5;1365000;5.00;
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW.png;0.2546,0.3283,0.2420,0.0853,0.0867,0.1845,0.0000,0.0867,0.0409,0.1024,0.0000,0.0242,0.0000,0.0000,0.0233,;7,1,2,1,0,0,0,0,0,0,0,;0.1326;4;4;1092000;4.00;
36HGGQAXL6L87J29O35QD9YQWSFBVG.png;0.0000,0.0054,0.1735,0.0970,0.0001,0.1050,0.0000,0.0000,0.0382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;3,1,0,0,0,0,0,0,0,0,0,;0.0699;3;2;546000;1.50;
36IAL8HYOXSPP9QYVLXZPMFW48E4R6.png;0.0000,0.0000,0.0000,0.0677,0.2012,0.0000,0.0000,0.0057,0.0000,0.0210,0.0000,0.0000,0.0000,0.0000,0.0000,;2,1,0,0,0,0,0,0,0,0,0,;0.0739;1;1;273000;1.00;
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL.png;0.0568,0.3140,0.0000,0.0464,0.1046,0.0000,0.0000,0.0000,0.0000,0.0775,0.0000,0.0000,0.0000,0.0000,0.0220,;5,0,0,1,0,0,0,0,0,0,0,;0.1035;2;2;546000;2.00;
36QDS77QN9NG5USZQM0XMAC2L97HFT.png;0.4353,0.0353,0.0000,0.2158,0.4615,0.0000,0.0000,0.1539,0.0000,0.1924,0.0000,0.0000,0.0000,0.0000,0.0000,;1,2,1,0,2,0,0,0,0,0,0,;0.2491;2;2;546000;2.00;
36QDS77QN9Y3AP81GU3ZJ983H37HFJ.png;0.0986,0.0239,0.0000,0.0464,0.0000,0.0000,0.0000,0.0398,0.0000,0.0810,0.0000,0.0000,0.0000,0.0000,0.0000,;5,0,0,0,0,0,0,0,0,0,0,;0.0580;2;1;273000;2.00;
36R3RQSDPTXRSZ6X7FR6HZHDYAF078.png;0.0314,0.0150,0.0000,0.0193,0.0000,0.0000,0.0000,0.0462,0.0000,0.0566,0.0000,0.0000,0.0000,0.0000,0.0000,;5,0,0,0,0,0,0,0,0,0,0,;0.0337;2;2;546000;2.00;
375FCEJV4GX4B1VR293XJCDD0I7CCJ.png;0.1893,0.2234,0.2301,0.2139,0.1716,0.2007,0.0000,0.1615,0.0422,0.1420,0.0000,0.0304,0.0000,0.0000,0.0196,;3,5,3,0,0,0,0,0,0,0,0,;0.1477;7;7;1911000;7.00;
375MF9UHMRPR2XWE6NL8JC3TL1HSX9.png;0.1318,0.2157,0.0598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,1,1,0,0,0,0,0,0,0,0,;0.1357;1;1;273000;1.00;
37672WDDC2JA93V4O46FCCJ2VAJNM9.png;0.0000,0.0000,0.0000,0.0000,0.0000,0.0110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,;1,0,0,0,0,0,0,0,0,0,0,;0.0110;1;1;273000;1.00;
378UBY8FQ61LFCJMHZWZTRZI59A8TB.png;0.2793,0.3053,0.3019,0.1063,0.0710,0.2292,0.0000,0.0472,0.0934,0.0000,0.0000,0.0314,0.0000,0.0000,0.0000,;5,0,4,0,0,0,0,0,0,0,0,;0.1628;4;4;1092000;4.00;
378UBY8FR7AABMKBM232FCEFT60T8E.png;0.2649,0.3082,0.1430,0.1188,0.0462,0.0620,0.0000,0.0065,0.0000,0.0437,0.0000,0.0000,0.0000,0.0000,0.0158,;4,2,2,0,0,0,0,0,0,0,0,;0.1121;4;4;1092000;4.00;
