GroupId,Sentences,Subclauses,Words,AvgWordLength,numUniqueStems,avgUniqueStems
306OACM7G04QOX49OC3VEMIMU7KA8L,49,16,497,3.2197558268590454,17,0.03420523138832998
30E2X49V611K26Z0IIHLB47CQY53NF,7,1,63,3.440993788819876,3,0.047619047619047616
30E2X49V611K26Z0IIHLB47CQY63NG,24,8,184,4.407942238267148,1,0.005434782608695652
30GUUI0R316PRKEN69AJEXY15MMBCT,57,34,958,3.193014705882353,22,0.022964509394572025
319N3DB42B6LKGW48RIT1IUY6MJEPG,25,12,240,4.225663716814159,7,0.029166666666666667
31H4HIBP9AWNGDF6JZY7J01Z8LG5HP,10,7,173,3.876,7,0.04046242774566474
31QBDMKNDPO96CGOU6OI3UH1N96L85,137,65,989,3.2448979591836733,0,0.0
31QOF9ABLNAV27TO4PXO0GLATWO1L1,36,29,333,4.069343065693431,36,0.10810810810810811
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,21,26,280,4.641242937853107,18,0.06428571428571428
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,75,59,983,3.8842364532019706,1,0.001017293997965412
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,14,5,194,4.433048433048433,8,0.041237113402061855
3203J2GC2PK4HSXGZ2GG107218V84Q,34,19,600,3.3087557603686637,0,0.0
3203J2GC2PK4HSXGZ2GG1073Z7V84O,32,19,588,3.2876506024096384,0,0.0
3203J2GC2PK4HSXGZ2GG1074VAS84P,184,77,3956,3.221329437545654,0,0.0
320GLP60AN5TS9K5PU8IGRVPKUZ14P,32,17,395,3.5609348914858097,12,0.030379746835443037
320GLP60AN6FM9FGZXIOL5AG38941T,44,35,780,4.795151515151515,38,0.04871794871794872
323KIQYDLQ7S9UIT4NE6QLFONB14CB,19,14,227,4.5272108843537415,2,0.00881057268722467
3244QHISJ1ITNE98CFK36E7RG91L0N,14,2,128,4.502673796791444,2,0.015625
3244QHISK2XKVEPCAXDY38M44I9L04,27,6,268,4.241206030150754,2,0.007462686567164179
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,22,13,232,4.377049180327869,12,0.05172413793103448
32GVUSPLEYOYH9SP841K39EVOUOK3Z,19,17,189,4.097643097643098,1,0.005291005291005291
32GVUSPLFZ61Q5EOZV799O813X5K3C,21,8,175,4.31358024691358,1,0.005714285714285714
32JEHGQ0QIPYH7JPSF8OLMHJ8AAU81,204,33,1258,4.81877444589309,2,0.001589825119236884
